error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
92.76,0.23,-2.760000000000005,-0.048171087355043586,-20.035714285714285,-20,1245.0,1245.0,0.004972,0.004984,-0.8669122807017552,0.19031884057971007,0.23
91.96,0.26,-1.9599999999999937,-0.03420845333908875,-20.035714285714285,-20,1245.0,1245.0,0.005032,0.009968,-0.8507831199620681,0.1912134387351778,0.26
91.37,0.34,-1.3700000000000045,-0.023911010752322395,-20.035714285714285,-20,1245.0,1245.0,0.004996,0.014952,-0.8346539592223811,0.1921080368906455,0.34
91.15,0.18,-1.1500000000000057,-0.02007128639793489,-20.035714285714285,-20,1245.0,1245.0,0.005012,0.019936,-0.818524798482694,0.19300263504611326,0.18
91.01,0.16,-1.0100000000000051,-0.017627825445142818,-20.035714285714285,-20,1245.0,1245.0,0.005008,0.024919999999999998,-0.8023956377430069,0.19389723320158098,0.16
90.92,0.18,-0.9200000000000017,-0.016057029118347863,-20.035714285714285,-20,1245.0,1245.0,0.005036,0.029903999999999997,-0.7862664770033199,0.1947918313570487,0.18
90.85,0.14,-0.8499999999999943,-0.014835298641951702,-20.035714285714285,-20,1245.0,1245.0,0.005024,0.034887999999999995,-0.7701373162636328,0.1956864295125164,0.14
90.76,0.11,-0.7600000000000051,-0.013264502315156993,-20.035714285714285,-20,1245.0,1245.0,0.00502,0.039872,-0.7540081555239457,0.19658102766798413,0.11
90.71,0.08,-0.7099999999999937,-0.012391837689159631,-20.035714285714285,-20,1245.0,1245.0,0.005016,0.044856,-0.7378789947842588,0.19747562582345188,0.08
90.64,0.35,-0.6400000000000006,-0.011170107212763718,-20.035714285714285,-20,1245.0,1245.0,0.005052,0.04984,-0.7217498340445716,0.1983702239789196,0.35
90.61,0.09,-0.6099999999999994,-0.0106465084371654,-20.035714285714285,-20,1245.0,1245.0,0.005,0.054824000000000005,-0.7056206733048846,0.19926482213438731,0.09
90.59,0.13,-0.5900000000000034,-0.010297442586766604,-20.035714285714285,-20,1245.0,1245.0,0.005,0.05980800000000001,-0.6894915125651976,0.20015942028985503,0.13
90.56,0.05,-0.5600000000000023,-0.009773843811168284,-20.035714285714285,-20,1245.0,1245.0,0.005032,0.064792,-0.6733623518255105,0.20105401844532275,0.05
90.53,0.13,-0.5300000000000011,-0.009250245035569966,-20.035714285714285,-20,1245.0,1245.0,0.005024,0.069776,-0.6572331910858235,0.2019486166007905,0.13
90.49,0.19,-0.4899999999999949,-0.008552113334772125,-20.035714285714285,-20,1245.0,1245.0,0.00502,0.07476000000000001,-0.6411040303461364,0.20284321475625822,0.19
90.48,0.22,-0.480000000000004,-0.008377580409572852,-20.035714285714285,-20,1245.0,1245.0,0.005008,0.07974400000000001,-0.6249748696064493,0.20373781291172594,0.22
90.44,0.31,-0.4399999999999977,-0.00767944870877501,-20.035714285714285,-20,1245.0,1245.0,0.005044,0.08472800000000001,-0.6088457088667623,0.20463241106719365,0.31
90.42,0.19,-0.4200000000000017,-0.007330382858376214,-20.035714285714285,-20,1245.0,1245.0,0.005052,0.08971200000000001,-0.5927165481270752,0.20552700922266137,0.19
90.38,0.24,-0.37999999999999545,-0.006632251157578373,-20.035714285714285,-20,1245.0,1245.0,0.005008,0.09469600000000002,-0.5765873873873881,0.2064216073781291,0.24
90.33,0.28,-0.3299999999999983,-0.005759586531581258,-20.035714285714285,-20,1245.0,1245.0,0.005028,0.09968000000000002,-0.5604582266477011,0.20731620553359684,0.28
90.33,0.27,-0.3299999999999983,-0.005759586531581258,-20.035714285714285,-20,1245.0,1245.0,0.00502,0.10466400000000002,-0.544329065908014,0.20821080368906456,0.27
90.27,0.21,-0.269999999999996,-0.00471238898038462,-20.035714285714285,-20,1245.0,1245.0,0.005036,0.10964800000000002,-0.528199905168327,0.20910540184453227,0.21
90.26,0.37,-0.2600000000000051,-0.004537856055185346,-20.035714285714285,-20,1245.0,1245.0,0.005008,0.11463200000000003,-0.5120707444286399,0.21000000000000013,0.37
90.24,0.18,-0.23999999999999488,-0.004188790204786302,-20.035714285714285,-20,1245.0,1245.0,0.005044,0.11961600000000003,-0.49594158368895286,0.2102222222222223,0.18
90.24,0.41,-0.23999999999999488,-0.004188790204786302,-20.035714285714285,-20,1245.0,1245.0,0.005036,0.12460000000000003,-0.4798124229492658,0.2062222222222223,0.41
90.22,0.2,-0.21999999999999886,-0.003839724354387505,-20.035714285714285,-20,1245.0,1245.0,0.00506,0.12958400000000003,-0.46368326220957873,0.20688888888888896,0.2
90.21,0.21,-0.20999999999999375,-0.003665191429187983,-20.035714285714285,-20,1245.0,1245.0,0.005076,0.13456800000000002,-0.44755410146989166,0.20533333333333342,0.21
90.21,0.1,-0.20999999999999375,-0.003665191429187983,-20.035714285714285,-20,1245.0,1245.0,0.005076,0.139552,-0.4314249407302046,0.20311111111111121,0.1
90.2,0.21,-0.20000000000000284,-0.0034906585039887086,-20.035714285714285,-20,1245.0,1245.0,0.005068,0.144536,-0.4152957799905176,0.20822222222222228,0.21
90.16,0.23,-0.1599999999999966,-0.0027925268031908676,-20.035714285714285,-20,1245.0,1245.0,0.005104,0.14952,-0.3991666192508305,0.20466666666666677,0.23
90.17,0.15,-0.1700000000000017,-0.00296705972839039,-20.035714285714285,-20,1245.0,1245.0,0.005068,0.15450399999999997,-0.38303745851114346,0.20111111111111118,0.15
90.16,0.31,-0.1599999999999966,-0.0027925268031908676,-20.035714285714285,-20,1245.0,1245.0,0.005072,0.15948799999999996,-0.3669082977714564,0.20044444444444454,0.31
90.14,0.22,-0.14000000000000057,-0.002443460952792071,-20.035714285714285,-20,1245.0,1245.0,0.005084,0.16447199999999995,-0.35077913703176933,0.19533333333333336,0.22
90.15,0.27,-0.15000000000000568,-0.0026179938779915934,-20.035714285714285,-20,1245.0,1245.0,0.005112,0.16945599999999994,-0.33464997629208226,0.196888888888889,0.27
90.12,0.17,-0.12000000000000455,-0.0020943951023932746,-20.035714285714285,-20,1245.0,1245.0,0.005072,0.17443999999999993,-0.3185208155523952,0.2064444444444445,0.17
90.13,0.04,-0.12999999999999545,-0.0022689280275925493,-20.035714285714285,-20,1245.0,1245.0,0.005104,0.17942399999999992,-0.30239165481270813,0.220888888888889,0.04
90.12,0.08,-0.12000000000000455,-0.0020943951023932746,-20.035714285714285,-20,1245.0,1245.0,0.005056,0.1844079999999999,-0.28626249407302107,0.22555555555555562,0.08
90.09,0.18,-0.09000000000000341,-0.001570796326794956,-20.035714285714285,-20,1245.0,1245.0,0.005076,0.1893919999999999,-0.2701333333333337,0.23600000000000007,0.18
90.08,0.18,-0.0799999999999983,-0.0013962634015954338,-20.035714285714285,-20,1245.0,1245.0,0.005092,0.19437599999999988,-0.22640000000000046,0.23111111111111118,0.18
90.04,0.24,-0.04000000000000625,-0.0006981317007978409,-20.035714285714285,-20,1245.0,1245.0,0.00506,0.19935999999999987,-0.19813333333333394,0.22888888888888897,0.24
90.04,0.18,-0.04000000000000625,-0.0006981317007978409,-20.035714285714285,-20,1245.0,1245.0,0.005084,0.20434399999999986,-0.17640000000000045,0.23888888888888898,0.18
90.04,0.31,-0.04000000000000625,-0.0006981317007978409,-20.035714285714285,-20,1245.0,1245.0,0.005096,0.20932799999999985,-0.15613333333333368,0.228888888888889,0.31
90.03,0.32,-0.030000000000001137,-0.0005235987755983187,-20.035714285714285,-20,1245.0,1245.0,0.005052,0.21431199999999984,-0.13906666666666692,0.2264444444444445,0.32
90.04,0.31,-0.04000000000000625,-0.0006981317007978409,-20.035714285714285,-20,1245.0,1245.0,0.005064,0.21929599999999982,-0.12200000000000026,0.22866666666666677,0.31
90.02,0.24,-0.01999999999999602,-0.0003490658503987965,-20.035714285714285,-20,1245.0,1245.0,0.005088,0.2242799999999998,-0.10626666666666701,0.23822222222222234,0.24
90.02,0.24,-0.01999999999999602,-0.0003490658503987965,-20.035714285714285,-20,1245.0,1245.0,0.005088,0.2292639999999998,-0.09093333333333359,0.23733333333333342,0.24
90.01,0.08,-0.010000000000005116,-0.00017453292519952225,-20.035714285714285,-20,1245.0,1245.0,0.00508,0.2342479999999998,-0.07453333333333374,0.23311111111111119,0.08
89.98,0.37,0.01999999999999602,0.0003490658503987965,-20.035714285714285,-20,1245.0,1245.0,0.00506,0.23923199999999978,-0.059600000000000354,0.22644444444444453,0.37
90.01,0.11,-0.010000000000005116,-0.00017453292519952225,-20.035714285714285,-20,1245.0,1245.0,0.005108,0.24421599999999977,-0.0457333333333336,0.2417777777777779,0.11
89.98,0.06,0.01999999999999602,0.0003490658503987965,-20.035714285714285,-20,1245.0,1245.0,0.005068,0.24919999999999976,-0.033466666666666915,0.2455555555555557,0.06
89.98,0.41,0.01999999999999602,0.0003490658503987965,-20.035714285714285,-20,1245.0,1245.0,0.00508,0.25418399999999974,-0.022266666666666875,0.2240000000000001,0.41
90.0,-0.02,0.0,0.0,-20.035714285714285,-20,1245.0,1245.0,0.005064,0.25916799999999973,-0.010933333333333621,0.25111111111111123,-0.02
89.96,-0.05,0.04000000000000625,0.0006981317007978409,-20.035714285714285,-20,1245.0,1245.0,0.00508,0.2641519999999997,0.0021333333333329093,0.2555555555555557,-0.05
90.0,0.05,0.0,0.0,-20.035714285714285,-20,1245.0,1245.0,0.00506,0.2691359999999997,0.014399999999999604,0.23733333333333342,0.05
90.02,0.12,-0.01999999999999602,-0.0003490658503987965,-19.67142857142857,-20,1246.0,1246.0,0.00506,0.2741199999999997,0.024133333333332976,0.24133333333333346,0.12
90.06,0.16,-0.060000000000002274,-0.0010471975511966373,-19.67142857142857,-20,1246.0,1246.0,0.005092,0.2791039999999997,0.033999999999999586,0.24444444444444452,0.16
90.01,0.56,-0.010000000000005116,-0.00017453292519952225,-19.67142857142857,-20,1246.0,1246.0,0.005104,0.2840879999999997,0.04333333333333276,0.23666666666666672,0.56
89.98,0.7,0.01999999999999602,0.0003490658503987965,-19.67142857142857,-20,1246.0,1246.0,0.005064,0.28907199999999966,0.05226666666666612,0.2224444444444445,0.7
90.01,0.34,-0.010000000000005116,-0.00017453292519952225,-19.67142857142857,-20,1246.0,1246.0,0.00508,0.29405599999999965,0.06106666666666606,0.23911111111111122,0.34
89.94,0.66,0.060000000000002274,0.0010471975511966373,-19.67142857142857,-20,1246.0,1246.0,0.005088,0.29903999999999964,0.07119999999999929,0.22511111111111115,0.66
89.95,0.0,0.04999999999999716,0.0008726646259971151,-19.67142857142857,-20,1246.0,1246.0,0.005104,0.30402399999999963,0.08199999999999931,0.24044444444444454,0.0
89.96,0.21,0.04000000000000625,0.0006981317007978409,-19.67142857142857,-20,1246.0,1246.0,0.004988,0.3090079999999996,0.09146666666666588,0.24844444444444452,0.21
89.92,0.64,0.0799999999999983,0.0013962634015954338,-19.67142857142857,-20,1246.0,1246.0,0.005088,0.3139919999999996,0.0994666666666658,0.25111111111111123,0.64
89.96,-0.21,0.04000000000000625,0.0006981317007978409,-19.67142857142857,-20,1246.0,1246.0,0.005096,0.3189759999999996,0.11066666666666587,0.2677777777777779,-0.21
89.99,0.17,0.010000000000005116,0.00017453292519952225,-19.67142857142857,-20,1246.0,1246.0,0.005112,0.3239599999999996,0.12199999999999911,0.2655555555555556,0.17
90.06,0.37,-0.060000000000002274,-0.0010471975511966373,-19.67142857142857,-20,1246.0,1246.0,0.00508,0.32894399999999957,0.1351999999999991,0.2762222222222223,0.37
90.05,0.64,-0.04999999999999716,-0.0008726646259971151,-19.67142857142857,-20,1246.0,1246.0,0.005032,0.33392799999999956,0.14786666666666576,0.3097777777777779,0.64
89.93,0.33,0.06999999999999318,0.0012217304763959117,-19.67142857142857,-20,1246.0,1246.0,0.005056,0.33891199999999955,0.16213333333333235,0.3382222222222223,0.33
89.93,-0.01,0.06999999999999318,0.0012217304763959117,-19.67142857142857,-20,1246.0,1246.0,0.005092,0.34389599999999954,0.1753333333333323,0.35800000000000015,-0.01
89.96,0.11,0.04000000000000625,0.0006981317007978409,-19.67142857142857,-20,1246.0,1246.0,0.005048,0.3488799999999995,0.18746666666666553,0.3615555555555557,0.11
90.0,0.89,0.0,0.0,-19.67142857142857,-20,1246.0,1246.0,0.005056,0.3538639999999995,0.20119999999999888,0.3933333333333336,0.89
90.07,0.38,-0.06999999999999318,-0.0012217304763959117,-19.67142857142857,-20,1246.0,1246.0,0.005036,0.3588479999999995,0.21506666666666563,0.4435555555555558,0.38
90.09,-0.87,-0.09000000000000341,-0.001570796326794956,-19.67142857142857,-20,1246.0,1246.0,0.005052,0.3638319999999995,0.2274666666666658,0.4791111111111112,-0.87
89.93,1.43,0.06999999999999318,0.0012217304763959117,-19.67142857142857,-20,1246.0,1246.0,0.005072,0.3688159999999995,0.24159999999999912,0.5242222222222225,1.43
89.83,0.43,0.1700000000000017,0.00296705972839039,-19.67142857142857,-20,1246.0,1246.0,0.00506,0.37379999999999947,0.2586666666666657,0.6311111111111112,0.43
89.48,-0.67,0.519999999999996,0.009075712110370443,-19.67142857142857,-20,1246.0,1246.0,0.005056,0.37878399999999945,0.27373333333333255,0.7013333333333336,-0.67
89.84,0.49,0.1599999999999966,0.0027925268031908676,-19.67142857142857,-20,1246.0,1246.0,0.005072,0.38376799999999944,0.28733333333333244,0.7931111111111112,0.49
89.74,0.36,0.2600000000000051,0.004537856055185346,-19.307142857142857,-19,1247.0,1247.0,0.005048,0.38875199999999943,0.303866666666666,0.9191111111111113,0.36
89.63,-0.08,0.37000000000000455,0.006457718232379099,-19.307142857142857,-19,1247.0,1247.0,0.005024,0.3937359999999994,0.31839999999999935,1.060444444444445,-0.08
89.73,-0.47,0.269999999999996,0.00471238898038462,-19.307142857142857,-19,1247.0,1247.0,0.005044,0.3987199999999994,0.3361333333333328,1.228444444444445,-0.47
89.64,0.79,0.35999999999999943,0.006283185307179576,-19.307142857142857,-19,1247.0,1247.0,0.005068,0.4037039999999994,0.3571999999999994,1.3546666666666674,0.79
89.67,-0.55,0.3299999999999983,0.005759586531581258,-19.307142857142857,-19,1247.0,1247.0,0.005052,0.4086879999999994,0.37959999999999955,1.5442222222222228,-0.55
89.61,0.87,0.39000000000000057,0.006806784082777895,-19.307142857142857,-19,1247.0,1247.0,0.005068,0.4136719999999994,0.3987999999999996,1.7255555555555562,0.87
