error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
90.05,0.39,-0.04999999999999716,-0.0008726646259971151,-80.14285714285714,-80,1080.0,1080.0,0.004544,0.004984,1.6194105263157899,0.3413043478260868,0.39
89.34,0.37,0.6599999999999966,0.011519173063162516,-80.14285714285714,-80,1080.0,1080.0,0.00458,0.009968,1.6336642958748226,0.33788142292490103,0.37
88.99,0.35,1.0100000000000051,0.017627825445142818,-80.14285714285714,-80,1080.0,1080.0,0.004572,0.014952,1.6479180654338552,0.3344584980237153,0.35
88.81,0.37,1.1899999999999977,0.020769418098732482,-80.14285714285714,-80,1080.0,1080.0,0.004556,0.019936,1.662171834992888,0.3310355731225295,0.37
88.65,0.41,1.3499999999999943,0.02356194490192335,-80.14285714285714,-80,1080.0,1080.0,0.004584,0.024919999999999998,1.6764256045519206,0.3276126482213437,0.41
88.53,0.43,1.4699999999999989,0.025656340004316623,-80.14285714285714,-80,1080.0,1080.0,0.004544,0.029903999999999997,1.6906793741109534,0.32418972332015794,0.43
88.44,0.3,1.5600000000000023,0.02722713633111158,-80.14285714285714,-80,1080.0,1080.0,0.004572,0.034887999999999995,1.704933143669986,0.3207667984189722,0.3
88.34,0.39,1.6599999999999966,0.02897246558310581,-80.14285714285714,-80,1080.0,1080.0,0.00456,0.039872,1.7191869132290187,0.3173438735177864,0.39
88.25,0.39,1.75,0.030543261909900768,-80.14285714285714,-80,1080.0,1080.0,0.004584,0.044856,1.7334406827880513,0.31392094861660064,0.39
88.2,0.22,1.7999999999999972,0.031415926535897885,-80.14285714285714,-80,1080.0,1080.0,0.004564,0.04984,1.747694452347084,0.3104980237154149,0.22
88.2,0.24,1.7999999999999972,0.031415926535897885,-80.14285714285714,-80,1080.0,1080.0,0.004564,0.054824000000000005,1.7619482219061169,0.3070750988142291,0.24
88.16,0.4,1.8400000000000034,0.032114058236695726,-80.14285714285714,-80,1080.0,1080.0,0.004584,0.05980800000000001,1.7762019914651495,0.30365217391304333,0.4
88.12,0.39,1.8799999999999955,0.03281218993749332,-80.14285714285714,-80,1080.0,1080.0,0.004588,0.064792,1.7904557610241822,0.30022924901185755,0.39
88.03,0.22,1.9699999999999989,0.03438298626428827,-80.14285714285714,-80,1080.0,1080.0,0.004604,0.069776,1.8047095305832148,0.2968063241106718,0.22
88.03,0.34,1.9699999999999989,0.03438298626428827,-80.14285714285714,-80,1080.0,1080.0,0.004544,0.07476000000000001,1.8189633001422476,0.29338339920948603,0.34
87.98,0.27,2.019999999999996,0.03525565089028539,-80.14285714285714,-80,1080.0,1080.0,0.004572,0.07974400000000001,1.8332170697012802,0.28996047430830024,0.27
87.95,0.31,2.049999999999997,0.03577924966588371,-80.14285714285714,-80,1080.0,1080.0,0.004604,0.08472800000000001,1.847470839260313,0.2865375494071145,0.31
87.93,0.11,2.069999999999993,0.036128315516282504,-80.14285714285714,-80,1080.0,1080.0,0.004648,0.08971200000000001,1.8617246088193458,0.2831146245059287,0.11
87.91,0.28,2.0900000000000034,0.03647738136668155,-80.14285714285714,-80,1080.0,1080.0,0.004632,0.09469600000000002,1.8759783783783783,0.27969169960474294,0.28
87.88,0.24,2.1200000000000045,0.037000980142279864,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.09968000000000002,1.8902321479374111,0.27626877470355715,0.24
87.87,0.16,2.1299999999999955,0.03717551306747914,-80.14285714285714,-80,1080.0,1080.0,0.004616,0.10466400000000002,1.9044859174964437,0.2728458498023714,0.16
87.82,0.15,2.180000000000007,0.0380481776934765,-80.14285714285714,-80,1080.0,1080.0,0.004632,0.10964800000000002,1.9187396870554765,0.26942292490118563,0.15
87.81,0.31,2.1899999999999977,0.03822271061867578,-80.14285714285714,-80,1080.0,1080.0,0.004636,0.11463200000000003,1.932993456614509,0.26600000000000007,0.31
87.79,0.24,2.2099999999999937,0.03857177646907457,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.11961600000000003,1.9472472261735418,0.26177777777777783,0.24
87.77,0.25,2.230000000000004,0.03892084231947362,-80.14285714285714,-80,1080.0,1080.0,0.004616,0.12460000000000003,1.9615009957325746,0.2573333333333334,0.25
87.75,0.27,2.25,0.039269908169872414,-80.14285714285714,-80,1080.0,1080.0,0.004612,0.12958400000000003,1.9757547652916072,0.2551111111111112,0.27
87.74,0.14,2.260000000000005,0.03944444109507194,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.13456800000000002,1.9900085348506398,0.2531111111111112,0.14
87.71,0.21,2.2900000000000063,0.039968039870670255,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.139552,2.004262304409673,0.25088888888888894,0.21
87.69,0.1,2.3100000000000023,0.04031710572106905,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.144536,2.0185160739687054,0.2475555555555556,0.1
87.66,0.24,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004612,0.14952,2.032769843527738,0.2491111111111112,0.24
87.66,0.06,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004632,0.15450399999999997,2.047023613086771,0.24622222222222234,0.06
87.66,0.35,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004616,0.15948799999999996,2.0612773826458035,0.24355555555555566,0.35
87.66,0.08,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.00462,0.16447199999999995,2.075531152204836,0.24511111111111117,0.08
87.66,0.29,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004604,0.16945599999999994,2.0897849217638687,0.24600000000000005,0.29
87.67,0.09,2.3299999999999983,0.040666171571467846,-80.14285714285714,-80,1080.0,1080.0,0.00466,0.17443999999999993,2.1040386913229012,0.24044444444444452,0.09
87.66,0.11,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.17942399999999992,2.1182924608819342,0.23577777777777786,0.11
87.66,0.4,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.1844079999999999,2.132546230440967,0.23844444444444457,0.4
87.66,0.16,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.1893919999999999,2.1467999999999994,0.2362222222222223,0.16
87.67,0.18,2.3299999999999983,0.040666171571467846,-80.14285714285714,-80,1080.0,1080.0,0.004648,0.19437599999999988,2.1815999999999995,0.23133333333333342,0.18
87.66,0.21,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004644,0.19935999999999987,2.2073333333333323,0.2280000000000001,0.21
87.65,0.4,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.20434399999999986,2.2287999999999992,0.23111111111111118,0.4
87.65,0.34,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.20932799999999985,2.2479999999999993,0.23155555555555563,0.34
87.65,0.33,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004596,0.21431199999999984,2.2651999999999997,0.22866666666666674,0.33
87.64,0.29,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004644,0.21929599999999982,2.2806666666666664,0.23111111111111118,0.29
87.63,0.19,2.3700000000000045,0.04136430327226569,-80.14285714285714,-80,1080.0,1080.0,0.004636,0.2242799999999998,2.294399999999999,0.23177777777777786,0.19
87.63,0.2,2.3700000000000045,0.04136430327226569,-80.14285714285714,-80,1080.0,1080.0,0.00464,0.2292639999999998,2.3065333333333324,0.22622222222222232,0.2
87.63,0.17,2.3700000000000045,0.04136430327226569,-80.14285714285714,-80,1080.0,1080.0,0.00462,0.2342479999999998,2.3164,0.22266666666666676,0.17
87.64,0.25,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004648,0.23923199999999978,2.325466666666667,0.2211111111111112,0.25
87.65,0.28,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.00462,0.24421599999999977,2.333866666666667,0.2120000000000001,0.28
87.65,0.31,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.00462,0.24919999999999976,2.3416,0.20600000000000004,0.31
87.65,0.28,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.25418399999999974,2.348,0.20155555555555563,0.28
87.64,0.37,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.00464,0.25916799999999973,2.3529333333333327,0.19800000000000006,0.37
87.65,0.26,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.00462,0.2641519999999997,2.3567999999999993,0.1864444444444445,0.26
87.64,0.27,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004632,0.2691359999999997,2.360666666666665,0.1811111111111112,0.27
87.64,0.29,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.2741199999999997,2.3638666666666666,0.16444444444444448,0.29
87.66,0.28,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.2791039999999997,2.3674666666666666,0.1513333333333334,0.28
87.65,0.15,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.00464,0.2840879999999997,2.369866666666667,0.13600000000000004,0.15
87.64,0.18,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004616,0.28907199999999966,2.372666666666666,0.1257777777777778,0.18
87.64,0.34,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.29405599999999965,2.3746666666666663,0.11222222222222226,0.34
87.65,0.24,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.00464,0.29903999999999964,2.376933333333333,0.09555555555555559,0.24
87.64,0.05,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004648,0.30402399999999963,2.3790666666666667,0.08400000000000003,0.05
87.63,0.16,2.3700000000000045,0.04136430327226569,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.3090079999999996,2.3808000000000007,0.07311111111111113,0.16
87.64,0.25,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.3139919999999996,2.382399999999999,0.06111111111111113,0.25
87.63,0.3,2.3700000000000045,0.04136430327226569,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.3189759999999996,2.3832,0.050444444444444465,0.3
87.65,0.11,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004644,0.3239599999999996,2.3846666666666665,0.040000000000000015,0.11
87.65,0.27,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.32894399999999957,2.3853333333333335,0.03377777777777779,0.27
87.65,0.18,2.3499999999999943,0.04101523742186664,-80.14285714285714,-80,1080.0,1080.0,0.004644,0.33392799999999956,2.3851999999999993,0.024222222222222232,0.18
87.66,0.06,2.3400000000000034,0.04084070449666737,-80.14285714285714,-80,1080.0,1080.0,0.004612,0.33891199999999955,2.384266666666666,0.021777777777777785,0.06
87.64,0.08,2.3599999999999994,0.04118977034706617,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.34389599999999954,2.3826666666666667,0.015555555555555562,0.08
87.62,0.18,2.3799999999999955,0.041538836197464964,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.3488799999999995,2.3802666666666665,0.020666666666666677,0.18
87.59,-0.14,2.4099999999999966,0.042062434973063285,-80.14285714285714,-80,1080.0,1080.0,0.004632,0.3538639999999995,2.377066666666666,0.019333333333333338,-0.14
87.57,-0.13,2.430000000000007,0.042411500823462324,-80.14285714285714,-80,1080.0,1080.0,0.004608,0.3588479999999995,2.3733333333333317,0.011333333333333346,-0.13
87.55,0.01,2.450000000000003,0.042760566673861126,-80.14285714285714,-80,1080.0,1080.0,0.004612,0.3638319999999995,2.369599999999999,0.006666666666666674,0.01
87.5,-0.06,2.5,0.04363323129985824,-80.14285714285714,-80,1080.0,1080.0,0.004624,0.3688159999999995,2.365733333333333,0.004888888888888886,-0.06
87.47,-0.28,2.530000000000001,0.04415683007545656,-80.14285714285714,-80,1080.0,1080.0,0.004584,0.37379999999999947,2.3599999999999985,0.0017777777777777887,-0.28
87.44,-0.18,2.5600000000000023,0.044680428851054874,-80.14285714285714,-80,1080.0,1080.0,0.004616,0.37878399999999945,2.353199999999999,-0.003333333333333341,-0.18
87.41,-0.4,2.5900000000000034,0.045204027626653195,-80.14285714285714,-80,1080.0,1080.0,0.004592,0.38376799999999944,2.345999999999999,-0.015111111111111108,-0.4
87.38,-0.51,2.6200000000000045,0.04572762640225151,-80.14285714285714,-80,1080.0,1080.0,0.004628,0.38875199999999943,2.3357333333333323,-0.02022222222222224,-0.51
