error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
93.27,0.18,-3.269999999999996,-0.05707226654021451,15.299999999999999,15,1342.0,1342.0,0.004984,0.004984,-2.199750877192983,0.24400966183574868,0.18
92.88,0.38,-2.8799999999999955,-0.05026548245743661,15.299999999999999,15,1342.0,1342.0,0.005024,0.009968,-2.191375628259839,0.24336275801493182,0.38
92.7,0.24,-2.700000000000003,-0.04712388980384695,15.299999999999999,15,1342.0,1342.0,0.004964,0.014952,-2.1830003793266957,0.24271585419411495,0.24
92.53,0.18,-2.530000000000001,-0.04415683007545656,15.299999999999999,15,1342.0,1342.0,0.005032,0.019936,-2.1746251303935518,0.2420689503732981,0.18
92.48,0.34,-2.480000000000004,-0.04328416544945944,15.299999999999999,15,1342.0,1342.0,0.004984,0.024919999999999998,-2.1662498814604083,0.24142204655248123,0.34
92.39,0.19,-2.3900000000000006,-0.04171336912266448,15.299999999999999,15,1342.0,1342.0,0.005012,0.029903999999999997,-2.1578746325272644,0.24077514273166437,0.19
92.36,0.05,-2.3599999999999994,-0.04118977034706617,15.299999999999999,15,1342.0,1342.0,0.004988,0.034887999999999995,-2.149499383594121,0.2401282389108475,0.05
92.28,0.41,-2.280000000000001,-0.039793506945470736,15.299999999999999,15,1342.0,1342.0,0.00504,0.039872,-2.141124134660977,0.23948133509003064,0.41
92.23,0.37,-2.230000000000004,-0.03892084231947362,15.299999999999999,15,1342.0,1342.0,0.004976,0.044856,-2.1327488857278336,0.23883443126921378,0.37
92.2,0.17,-2.200000000000003,-0.0383972435438753,15.299999999999999,15,1342.0,1342.0,0.005012,0.04984,-2.1243736367946897,0.2381875274483969,0.17
92.18,0.15,-2.180000000000007,-0.0380481776934765,15.299999999999999,15,1342.0,1342.0,0.004988,0.054824000000000005,-2.1159983878615463,0.23754062362758005,0.15
92.1,0.24,-2.0999999999999943,-0.03665191429188082,15.299999999999999,15,1342.0,1342.0,0.005048,0.05980800000000001,-2.1076231389284024,0.2368937198067632,0.24
92.04,0.22,-2.0400000000000063,-0.03560471674068443,15.299999999999999,15,1342.0,1342.0,0.004992,0.064792,-2.099247889995259,0.23624681598594632,0.22
92.02,0.24,-2.019999999999996,-0.03525565089028539,15.299999999999999,15,1342.0,1342.0,0.005012,0.069776,-2.090872641062115,0.23559991216512946,0.24
92.0,0.3,-2.0,-0.03490658503988659,15.299999999999999,15,1342.0,1342.0,0.005016,0.07476000000000001,-2.082497392128971,0.2349530083443126,0.3
91.97,0.1,-1.9699999999999989,-0.03438298626428827,15.299999999999999,15,1342.0,1342.0,0.005028,0.07974400000000001,-2.0741221431958277,0.23430610452349573,0.1
91.93,0.18,-1.9300000000000068,-0.03368485456349068,15.299999999999999,15,1342.0,1342.0,0.005016,0.08472800000000001,-2.0657468942626838,0.23365920070267887,0.18
91.92,0.41,-1.9200000000000017,-0.03351032163829116,15.299999999999999,15,1342.0,1342.0,0.005004,0.08971200000000001,-2.0573716453295403,0.233012296881862,0.41
91.88,0.22,-1.8799999999999955,-0.03281218993749332,15.299999999999999,15,1342.0,1342.0,0.005016,0.09469600000000002,-2.0489963963963964,0.23236539306104514,0.22
91.87,0.17,-1.8700000000000045,-0.03263765701229404,15.299999999999999,15,1342.0,1342.0,0.005032,0.09968000000000002,-2.040621147463253,0.23171848924022828,0.17
91.85,0.34,-1.8499999999999943,-0.032288591161894996,15.299999999999999,15,1342.0,1342.0,0.005008,0.10466400000000002,-2.032245898530109,0.23107158541941142,0.34
91.83,0.24,-1.8299999999999983,-0.0319395253114962,15.299999999999999,15,1342.0,1342.0,0.005,0.10964800000000002,-2.0238706495969656,0.23042468159859458,0.24
91.84,0.15,-1.8400000000000034,-0.032114058236695726,15.299999999999999,15,1342.0,1342.0,0.005032,0.11463200000000003,-2.0154954006638217,0.22977777777777786,0.15
91.82,0.34,-1.8199999999999932,-0.03176499238629668,15.299999999999999,15,1342.0,1342.0,0.005016,0.11961600000000003,-2.0071201517306783,0.23355555555555563,0.34
91.8,0.3,-1.7999999999999972,-0.031415926535897885,15.299999999999999,15,1342.0,1342.0,0.004996,0.12460000000000003,-1.9987449027975344,0.2280000000000001,0.3
91.8,0.2,-1.7999999999999972,-0.031415926535897885,15.299999999999999,15,1342.0,1342.0,0.005052,0.12958400000000003,-1.9903696538643907,0.22511111111111118,0.2
91.82,0.19,-1.8199999999999932,-0.03176499238629668,15.299999999999999,15,1342.0,1342.0,0.00502,0.13456800000000002,-1.981994404931247,0.23800000000000004,0.19
91.8,0.13,-1.7999999999999972,-0.031415926535897885,15.299999999999999,15,1342.0,1342.0,0.005092,0.139552,-1.9736191559981033,0.23333333333333342,0.13
91.79,0.34,-1.7900000000000063,-0.03124139361069861,15.299999999999999,15,1342.0,1342.0,0.00504,0.144536,-1.9652439070649597,0.2395555555555556,0.34
91.76,0.21,-1.7600000000000051,-0.03071779483510029,15.299999999999999,15,1342.0,1342.0,0.005048,0.14952,-1.9568686581318158,0.24622222222222231,0.21
91.75,0.13,-1.75,-0.030543261909900768,15.299999999999999,15,1342.0,1342.0,0.005044,0.15450399999999997,-1.9484934091986723,0.24200000000000013,0.13
91.75,-0.06,-1.75,-0.030543261909900768,15.299999999999999,15,1342.0,1342.0,0.005088,0.15948799999999996,-1.9401181602655284,0.25200000000000006,-0.06
91.74,0.18,-1.7399999999999949,-0.030368728984701245,15.664285714285715,16,1343.0,1343.0,0.005044,0.16447199999999995,-1.9317429113323847,0.25600000000000006,0.18
91.73,0.18,-1.730000000000004,-0.030194196059501972,15.664285714285715,16,1343.0,1343.0,0.005064,0.16945599999999994,-1.923367662399241,0.25866666666666677,0.18
91.72,0.31,-1.7199999999999989,-0.03001966313430245,15.664285714285715,16,1343.0,1343.0,0.00506,0.17443999999999993,-1.9149924134660974,0.25755555555555565,0.31
91.71,0.34,-1.7099999999999937,-0.029845130209102927,15.664285714285715,16,1343.0,1343.0,0.005076,0.17942399999999992,-1.9066171645329537,0.2644444444444445,0.34
91.71,0.34,-1.7099999999999937,-0.029845130209102927,15.664285714285715,16,1343.0,1343.0,0.005056,0.1844079999999999,-1.89824191559981,0.2502222222222223,0.34
91.7,0.2,-1.7000000000000028,-0.02967059728390365,15.664285714285715,16,1343.0,1343.0,0.005072,0.1893919999999999,-1.8898666666666668,0.25755555555555565,0.2
91.67,0.15,-1.6700000000000017,-0.029146998508305332,15.664285714285715,16,1343.0,1343.0,0.005052,0.19437599999999988,-1.8712000000000002,0.2504444444444445,0.15
91.65,0.34,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.005084,0.19935999999999987,-1.8592000000000006,0.2517777777777779,0.34
91.65,0.13,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.005056,0.20434399999999986,-1.8484000000000003,0.25022222222222235,0.13
91.63,0.21,-1.6299999999999955,-0.02844886680750749,15.664285714285715,16,1343.0,1343.0,0.00508,0.20932799999999985,-1.8394666666666668,0.24755555555555564,0.21
91.64,0.22,-1.6400000000000006,-0.028623399732707014,15.664285714285715,16,1343.0,1343.0,0.005068,0.21431199999999984,-1.831466666666667,0.23822222222222228,0.22
91.65,0.05,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.005092,0.21929599999999982,-1.825466666666667,0.2333333333333334,0.05
91.68,0.44,-1.6800000000000068,-0.029321531433504855,15.664285714285715,16,1343.0,1343.0,0.005072,0.2242799999999998,-1.8193333333333337,0.23488888888888895,0.44
91.65,0.35,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.005044,0.2292639999999998,-1.8134666666666666,0.24466666666666675,0.35
91.68,0.13,-1.6800000000000068,-0.029321531433504855,15.664285714285715,16,1343.0,1343.0,0.005072,0.2342479999999998,-1.8061333333333331,0.2635555555555557,0.13
91.63,0.11,-1.6299999999999955,-0.02844886680750749,15.664285714285715,16,1343.0,1343.0,0.0051,0.23923199999999978,-1.8004,0.23933333333333337,0.11
91.66,0.76,-1.6599999999999966,-0.02897246558310581,15.664285714285715,16,1343.0,1343.0,0.005088,0.24421599999999977,-1.7934666666666668,0.23377777777777783,0.76
91.65,0.13,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.00506,0.24919999999999976,-1.7876,0.22488888888888897,0.13
91.69,0.47,-1.6899999999999977,-0.02949606435870413,15.664285714285715,16,1343.0,1343.0,0.005092,0.25418399999999974,-1.7845333333333335,0.2077777777777778,0.47
91.65,0.35,-1.6500000000000057,-0.028797932657906537,15.664285714285715,16,1343.0,1343.0,0.005092,0.25916799999999973,-1.782133333333333,0.20355555555555563,0.35
91.67,0.22,-1.6700000000000017,-0.029146998508305332,15.664285714285715,16,1343.0,1343.0,0.005076,0.2641519999999997,-1.7781333333333336,0.20422222222222225,0.22
91.69,0.82,-1.6899999999999977,-0.02949606435870413,15.664285714285715,16,1343.0,1343.0,0.00506,0.2691359999999997,-1.7749333333333333,0.21355555555555558,0.82
91.68,0.35,-1.6800000000000068,-0.029321531433504855,15.664285714285715,16,1343.0,1343.0,0.005088,0.2741199999999997,-1.7713333333333328,0.222888888888889,0.35
91.77,0.27,-1.769999999999996,-0.030892327760299564,15.664285714285715,16,1343.0,1343.0,0.005084,0.2791039999999997,-1.7650666666666666,0.2257777777777779,0.27
91.7,0.19,-1.7000000000000028,-0.02967059728390365,15.664285714285715,16,1343.0,1343.0,0.005052,0.2840879999999997,-1.7573333333333332,0.24711111111111125,0.19
91.71,0.53,-1.7099999999999937,-0.029845130209102927,15.664285714285715,16,1343.0,1343.0,0.005056,0.28907199999999966,-1.751733333333333,0.2560000000000001,0.53
91.83,-0.4,-1.8299999999999983,-0.0319395253114962,15.664285714285715,16,1343.0,1343.0,0.005096,0.29405599999999965,-1.7472000000000003,0.28311111111111126,-0.4
91.78,0.63,-1.7800000000000011,-0.031066860685499086,15.664285714285715,16,1343.0,1343.0,0.005044,0.29903999999999964,-1.7433333333333338,0.2831111111111113,0.63
91.73,-0.22,-1.730000000000004,-0.030194196059501972,15.664285714285715,16,1343.0,1343.0,0.00508,0.30402399999999963,-1.7348000000000001,0.2951111111111112,-0.22
91.81,0.24,-1.8100000000000023,-0.031590459461097405,15.664285714285715,16,1343.0,1343.0,0.005092,0.3090079999999996,-1.728666666666667,0.32622222222222236,0.24
91.76,0.34,-1.7600000000000051,-0.03071779483510029,15.664285714285715,16,1343.0,1343.0,0.005076,0.3139919999999996,-1.7236,0.3477777777777779,0.34
91.83,0.1,-1.8299999999999983,-0.0319395253114962,15.664285714285715,16,1343.0,1343.0,0.005052,0.3189759999999996,-1.7192000000000007,0.4006666666666668,0.1
91.82,-0.25,-1.8199999999999932,-0.03176499238629668,15.664285714285715,16,1343.0,1343.0,0.00504,0.3239599999999996,-1.711333333333334,0.460888888888889,-0.25
91.78,0.12,-1.7800000000000011,-0.031066860685499086,15.664285714285715,16,1343.0,1343.0,0.005056,0.32894399999999957,-1.7030666666666674,0.556,0.12
91.63,0.31,-1.6299999999999955,-0.02844886680750749,15.664285714285715,16,1343.0,1343.0,0.0051,0.33392799999999956,-1.6896000000000007,0.6502222222222225,0.31
91.91,0.59,-1.9099999999999966,-0.03333578871309163,15.664285714285715,16,1343.0,1343.0,0.005072,0.33891199999999955,-1.673466666666667,0.7724444444444448,0.59
