error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
93.42,0.16,-3.4200000000000017,-0.059690260418206104,-25.864285714285714,-26,1229.0,1229.0,0.004992,0.004984,-2.3405157894736854,0.22593236714975828,0.16
92.97,0.2,-2.969999999999999,-0.05183627878423157,-26.228571428571428,-26,1228.0,1228.0,0.005016,0.009968,-2.3245775248933156,0.2257334211682036,0.2
92.73,0.16,-2.730000000000004,-0.047647488579445264,-26.228571428571428,-26,1228.0,1228.0,0.004988,0.014952,-2.3086392603129458,0.22553447518664893,0.16
92.53,0.17,-2.530000000000001,-0.04415683007545656,-26.228571428571428,-26,1228.0,1228.0,0.005036,0.019936,-2.292700995732576,0.22533552920509425,0.17
92.4,0.34,-2.4000000000000057,-0.04188790204786401,-26.228571428571428,-26,1228.0,1228.0,0.005004,0.024919999999999998,-2.276762731152206,0.22513658322353958,0.34
92.32,0.27,-2.319999999999993,-0.04049163864626833,-26.228571428571428,-26,1228.0,1228.0,0.005004,0.029903999999999997,-2.2608244665718362,0.2249376372419849,0.27
92.26,0.33,-2.260000000000005,-0.03944444109507194,-26.228571428571428,-26,1228.0,1228.0,0.00502,0.034887999999999995,-2.2448862019914664,0.22473869126043025,0.33
92.26,0.09,-2.260000000000005,-0.03944444109507194,-26.228571428571428,-26,1228.0,1228.0,0.005048,0.039872,-2.2289479374110965,0.22453974527887557,0.09
92.23,0.43,-2.230000000000004,-0.03892084231947362,-26.228571428571428,-26,1228.0,1228.0,0.004988,0.044856,-2.2130096728307267,0.2243407992973209,0.43
92.21,0.19,-2.2099999999999937,-0.03857177646907457,-26.228571428571428,-26,1228.0,1228.0,0.005024,0.04984,-2.1970714082503564,0.22414185331576622,0.19
92.13,0.31,-2.1299999999999955,-0.03717551306747914,-26.228571428571428,-26,1228.0,1228.0,0.004992,0.054824000000000005,-2.1811331436699866,0.22394290733421154,0.31
92.08,0.04,-2.0799999999999983,-0.03630284844148202,-26.228571428571428,-26,1228.0,1228.0,0.005052,0.05980800000000001,-2.1651948790896167,0.22374396135265687,0.04
92.07,0.26,-2.069999999999993,-0.036128315516282504,-26.228571428571428,-26,1228.0,1228.0,0.004972,0.064792,-2.149256614509247,0.2235450153711022,0.26
92.05,0.34,-2.049999999999997,-0.03577924966588371,-26.228571428571428,-26,1228.0,1228.0,0.005012,0.069776,-2.133318349928877,0.2233460693895475,0.34
92.02,0.21,-2.019999999999996,-0.03525565089028539,-26.228571428571428,-26,1228.0,1228.0,0.004992,0.07476000000000001,-2.117380085348507,0.22314712340799284,0.21
91.98,0.31,-1.980000000000004,-0.034557519189487795,-26.228571428571428,-26,1228.0,1228.0,0.005056,0.07974400000000001,-2.1014418207681373,0.22294817742643816,0.31
91.97,0.34,-1.9699999999999989,-0.03438298626428827,-26.228571428571428,-26,1228.0,1228.0,0.005004,0.08472800000000001,-2.0855035561877675,0.22274923144488348,0.34
91.94,0.08,-1.9399999999999977,-0.033859387488689954,-26.228571428571428,-26,1228.0,1228.0,0.005004,0.08971200000000001,-2.0695652916073977,0.22255028546332883,0.08
91.9,0.13,-1.9000000000000057,-0.03316125578789236,-26.228571428571428,-26,1228.0,1228.0,0.005004,0.09469600000000002,-2.053627027027028,0.22235133948177416,0.13
91.88,0.3,-1.8799999999999955,-0.03281218993749332,-26.228571428571428,-26,1228.0,1228.0,0.005036,0.09968000000000002,-2.037688762446658,0.22215239350021948,0.3
91.85,0.3,-1.8499999999999943,-0.032288591161894996,-26.228571428571428,-26,1228.0,1228.0,0.005016,0.10466400000000002,-2.021750497866288,0.2219534475186648,0.3
91.82,0.15,-1.8199999999999932,-0.03176499238629668,-26.228571428571428,-26,1228.0,1228.0,0.00502,0.10964800000000002,-2.0058122332859183,0.22175450153711013,0.15
91.82,0.17,-1.8199999999999932,-0.03176499238629668,-26.228571428571428,-26,1228.0,1228.0,0.005016,0.11463200000000003,-1.9898739687055484,0.22155555555555567,0.17
91.79,0.09,-1.7900000000000063,-0.03124139361069861,-26.228571428571428,-26,1228.0,1228.0,0.005052,0.11961600000000003,-1.9739357041251786,0.22488888888888897,0.09
91.78,0.15,-1.7800000000000011,-0.031066860685499086,-26.228571428571428,-26,1228.0,1228.0,0.004992,0.12460000000000003,-1.9579974395448088,0.2233333333333334,0.15
91.75,0.13,-1.75,-0.030543261909900768,-25.864285714285714,-26,1229.0,1229.0,0.00508,0.12958400000000003,-1.9420591749644387,0.22311111111111118,0.13
91.75,0.13,-1.75,-0.030543261909900768,-25.864285714285714,-26,1229.0,1229.0,0.005044,0.13456800000000002,-1.9261209103840689,0.23533333333333342,0.13
91.72,0.42,-1.7199999999999989,-0.03001966313430245,-25.864285714285714,-26,1229.0,1229.0,0.00508,0.139552,-1.910182645803699,0.23333333333333345,0.42
91.71,0.3,-1.7099999999999937,-0.029845130209102927,-25.864285714285714,-26,1229.0,1229.0,0.005052,0.144536,-1.8942443812233292,0.24111111111111125,0.3
91.7,0.3,-1.7000000000000028,-0.02967059728390365,-25.864285714285714,-26,1229.0,1229.0,0.005064,0.14952,-1.8783061166429593,0.2355555555555556,0.3
91.69,0.08,-1.6899999999999977,-0.02949606435870413,-25.864285714285714,-26,1229.0,1229.0,0.005064,0.15450399999999997,-1.8623678520625895,0.24666666666666673,0.08
91.69,0.11,-1.6899999999999977,-0.02949606435870413,-25.864285714285714,-26,1229.0,1229.0,0.00506,0.15948799999999996,-1.8464295874822194,0.2411111111111112,0.11
91.7,0.15,-1.7000000000000028,-0.02967059728390365,-25.864285714285714,-26,1229.0,1229.0,0.005068,0.16447199999999995,-1.8304913229018496,0.25066666666666676,0.15
91.68,0.31,-1.6800000000000068,-0.029321531433504855,-25.864285714285714,-26,1229.0,1229.0,0.005036,0.16945599999999994,-1.8145530583214797,0.24622222222222231,0.31
91.69,0.09,-1.6899999999999977,-0.02949606435870413,-25.864285714285714,-26,1229.0,1229.0,0.00506,0.17443999999999993,-1.7986147937411099,0.2442222222222223,0.09
91.68,0.38,-1.6800000000000068,-0.029321531433504855,-25.864285714285714,-26,1229.0,1229.0,0.005056,0.17942399999999992,-1.78267652916074,0.23711111111111116,0.38
91.66,0.29,-1.6599999999999966,-0.02897246558310581,-25.864285714285714,-26,1229.0,1229.0,0.005056,0.1844079999999999,-1.7667382645803702,0.2397777777777778,0.29
91.65,0.2,-1.6500000000000057,-0.028797932657906537,-25.864285714285714,-26,1229.0,1229.0,0.005068,0.1893919999999999,-1.7507999999999997,0.2280000000000001,0.2
91.65,0.16,-1.6500000000000057,-0.028797932657906537,-25.864285714285714,-26,1229.0,1229.0,0.005076,0.19437599999999988,-1.7202666666666662,0.2057777777777779,0.16
91.65,0.25,-1.6500000000000057,-0.028797932657906537,-25.864285714285714,-26,1229.0,1229.0,0.0051,0.19935999999999987,-1.7003999999999997,0.19511111111111118,0.25
