error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
93.01,0.25,-3.010000000000005,-0.05253441048502941,14.571428571428571,15,1340.0,1340.0,0.00458,0.004984,-2.137719298245615,0.23223809523809522,0.25
92.66,0.31,-2.6599999999999966,-0.04642575810304911,14.571428571428571,15,1340.0,1340.0,0.004592,0.009968,-2.127463821716454,0.23087955182072828,0.31
92.55,0.21,-2.549999999999997,-0.044505895925855354,14.571428571428571,15,1340.0,1340.0,0.004588,0.014952,-2.1172083451872936,0.22952100840336132,0.21
92.4,0.09,-2.4000000000000057,-0.04188790204786401,14.571428571428571,15,1340.0,1340.0,0.004564,0.019936,-2.1069528686581327,0.22816246498599438,0.09
92.32,0.22,-2.319999999999993,-0.04049163864626833,14.571428571428571,15,1340.0,1340.0,0.00458,0.024919999999999998,-2.0966973921289718,0.22680392156862741,0.22
92.27,0.08,-2.269999999999996,-0.03961897402027121,14.571428571428571,15,1340.0,1340.0,0.00464,0.029903999999999997,-2.0864419155998113,0.22544537815126048,0.08
92.21,0.31,-2.2099999999999937,-0.03857177646907457,14.571428571428571,15,1340.0,1340.0,0.004592,0.034887999999999995,-2.0761864390706504,0.22408683473389354,0.31
92.13,0.29,-2.1299999999999955,-0.03717551306747914,14.571428571428571,15,1340.0,1340.0,0.004596,0.039872,-2.0659309625414894,0.22272829131652658,0.29
92.09,0.34,-2.0900000000000034,-0.03647738136668155,14.571428571428571,15,1340.0,1340.0,0.004572,0.044856,-2.055675486012329,0.22136974789915964,0.34
92.0,0.27,-2.0,-0.03490658503988659,14.571428571428571,15,1340.0,1340.0,0.004596,0.04984,-2.045420009483168,0.2200112044817927,0.27
92.01,0.09,-2.010000000000005,-0.03508111796508611,14.571428571428571,15,1340.0,1340.0,0.004584,0.054824000000000005,-2.035164532954007,0.21865266106442574,0.09
92.01,-0.02,-2.010000000000005,-0.03508111796508611,14.571428571428571,15,1340.0,1340.0,0.00458,0.05980800000000001,-2.0249090564248466,0.2172941176470588,-0.02
91.98,0.28,-1.980000000000004,-0.034557519189487795,14.571428571428571,15,1340.0,1340.0,0.004584,0.064792,-2.0146535798956857,0.21593557422969184,0.28
91.94,0.27,-1.9399999999999977,-0.033859387488689954,14.571428571428571,15,1340.0,1340.0,0.004584,0.069776,-2.0043981033665252,0.2145770308123249,0.27
91.93,0.24,-1.9300000000000068,-0.03368485456349068,14.571428571428571,15,1340.0,1340.0,0.004608,0.07476000000000001,-1.9941426268373643,0.21321848739495797,0.24
91.9,0.18,-1.9000000000000057,-0.03316125578789236,14.571428571428571,15,1340.0,1340.0,0.00458,0.07974400000000001,-1.9838871503082034,0.211859943977591,0.18
91.88,0.16,-1.8799999999999955,-0.03281218993749332,14.571428571428571,15,1340.0,1340.0,0.004584,0.08472800000000001,-1.9736316737790427,0.21050140056022407,0.16
91.87,0.11,-1.8700000000000045,-0.03263765701229404,14.571428571428571,15,1340.0,1340.0,0.004576,0.08971200000000001,-1.963376197249882,0.20914285714285713,0.11
91.86,0.4,-1.8599999999999994,-0.03246312408709452,14.571428571428571,15,1340.0,1340.0,0.004628,0.09469600000000002,-1.9531207207207213,0.21257142857142858,0.4
91.85,0.21,-1.8499999999999943,-0.032288591161894996,14.571428571428571,15,1340.0,1340.0,0.004588,0.09968000000000002,-1.9428652441915604,0.2137142857142857,0.21
91.83,0.27,-1.8299999999999983,-0.0319395253114962,14.571428571428571,15,1340.0,1340.0,0.0046,0.10466400000000002,-1.9326097676623997,0.21657142857142853,0.27
91.81,0.18,-1.8100000000000023,-0.031590459461097405,14.571428571428571,15,1340.0,1340.0,0.004588,0.10964800000000002,-1.922354291133239,0.21657142857142855,0.18
91.79,0.23,-1.7900000000000063,-0.03124139361069861,14.571428571428571,15,1340.0,1340.0,0.004632,0.11463200000000003,-1.9120988146040783,0.21885714285714286,0.23
91.77,0.34,-1.769999999999996,-0.030892327760299564,14.571428571428571,15,1340.0,1340.0,0.004572,0.11961600000000003,-1.9018433380749173,0.21942857142857142,0.34
91.76,0.29,-1.7600000000000051,-0.03071779483510029,14.571428571428571,15,1340.0,1340.0,0.004588,0.12460000000000003,-1.8915878615457566,0.21628571428571428,0.29
91.74,0.14,-1.7399999999999949,-0.030368728984701245,14.571428571428571,15,1340.0,1340.0,0.004596,0.12958400000000003,-1.881332385016596,0.2131428571428571,0.14
91.73,0.24,-1.730000000000004,-0.030194196059501972,14.571428571428571,15,1340.0,1340.0,0.004652,0.13456800000000002,-1.871076908487435,0.2094285714285714,0.24
91.73,0.14,-1.730000000000004,-0.030194196059501972,14.571428571428571,15,1340.0,1340.0,0.004664,0.139552,-1.8608214319582743,0.20599999999999996,0.14
91.7,0.24,-1.7000000000000028,-0.02967059728390365,14.571428571428571,15,1340.0,1340.0,0.004644,0.144536,-1.8505659554291136,0.20571428571428568,0.24
91.7,0.23,-1.7000000000000028,-0.02967059728390365,14.571428571428571,15,1340.0,1340.0,0.004632,0.14952,-1.8403104788999527,0.2151428571428571,0.23
91.7,0.18,-1.7000000000000028,-0.02967059728390365,14.571428571428571,15,1340.0,1340.0,0.004632,0.15450399999999997,-1.830055002370792,0.2091428571428571,0.18
91.7,0.24,-1.7000000000000028,-0.02967059728390365,14.571428571428571,15,1340.0,1340.0,0.004652,0.15948799999999996,-1.8197995258416313,0.21199999999999997,0.24
91.69,0.11,-1.6899999999999977,-0.02949606435870413,14.571428571428571,15,1340.0,1340.0,0.004628,0.16447199999999995,-1.8095440493124704,0.20742857142857138,0.11
91.68,0.05,-1.6800000000000068,-0.029321531433504855,14.571428571428571,15,1340.0,1340.0,0.004648,0.16945599999999994,-1.7992885727833097,0.2137142857142857,0.05
91.66,0.15,-1.6599999999999966,-0.02897246558310581,14.571428571428571,15,1340.0,1340.0,0.00464,0.17443999999999993,-1.789033096254149,0.21428571428571425,0.15
91.65,0.37,-1.6500000000000057,-0.028797932657906537,14.571428571428571,15,1340.0,1340.0,0.004676,0.17942399999999992,-1.778777619724988,0.2108571428571429,0.37
91.64,0.35,-1.6400000000000006,-0.028623399732707014,14.571428571428571,15,1340.0,1340.0,0.004668,0.1844079999999999,-1.7685221431958273,0.2,0.35
91.62,0.31,-1.6200000000000045,-0.028274333882308218,14.571428571428571,15,1340.0,1340.0,0.00466,0.1893919999999999,-1.758266666666667,0.1971428571428571,0.31
91.61,0.09,-1.6099999999999994,-0.028099800957108696,14.571428571428571,15,1340.0,1340.0,0.004648,0.19437599999999988,-1.7417333333333336,0.19314285714285712,0.09
91.59,0.3,-1.5900000000000034,-0.0277507351067099,14.571428571428571,15,1340.0,1340.0,0.004648,0.19935999999999987,-1.7298666666666667,0.19628571428571426,0.3
91.57,0.1,-1.5699999999999932,-0.027401669256310855,14.571428571428571,15,1340.0,1340.0,0.00466,0.20434399999999986,-1.7228000000000003,0.19314285714285712,0.1
91.55,0.2,-1.5499999999999972,-0.02705260340591206,14.571428571428571,15,1340.0,1340.0,0.00462,0.20932799999999985,-1.712533333333333,0.188,0.2
91.54,0.18,-1.5400000000000063,-0.026878070480712783,14.571428571428571,15,1340.0,1340.0,0.004648,0.21431199999999984,-1.705333333333334,0.1894285714285714,0.18
91.54,0.21,-1.5400000000000063,-0.026878070480712783,14.571428571428571,15,1340.0,1340.0,0.004652,0.21929599999999982,-1.6992,0.17885714285714283,0.21
91.53,0.15,-1.5300000000000011,-0.026703537555513263,14.571428571428571,15,1340.0,1340.0,0.00468,0.2242799999999998,-1.6954666666666662,0.16371428571428567,0.15
91.52,0.08,-1.519999999999996,-0.02652900463031374,14.571428571428571,15,1340.0,1340.0,0.004656,0.2292639999999998,-1.6922666666666673,0.14085714285714285,0.08
91.49,0.31,-1.4899999999999949,-0.026005405854715422,14.571428571428571,15,1340.0,1340.0,0.004648,0.2342479999999998,-1.6916000000000002,0.13257142857142856,0.31
91.48,0.07,-1.480000000000004,-0.025830872929516146,14.571428571428571,15,1340.0,1340.0,0.004648,0.23923199999999978,-1.693466666666667,0.12085714285714283,0.07
91.49,0.37,-1.4899999999999949,-0.026005405854715422,14.571428571428571,15,1340.0,1340.0,0.004664,0.24421599999999977,-1.6950666666666672,0.12228571428571428,0.37
91.52,0.08,-1.519999999999996,-0.02652900463031374,14.571428571428571,15,1340.0,1340.0,0.00464,0.24919999999999976,-1.6960000000000004,0.10914285714285712,0.08
91.5,0.4,-1.5,-0.026179938779914945,14.571428571428571,15,1340.0,1340.0,0.004628,0.25418399999999974,-1.6965333333333337,0.12771428571428572,0.4
91.49,0.18,-1.4899999999999949,-0.026005405854715422,14.571428571428571,15,1340.0,1340.0,0.00462,0.25916799999999973,-1.6981333333333335,0.13085714285714284,0.18
91.48,-0.01,-1.480000000000004,-0.025830872929516146,14.571428571428571,15,1340.0,1340.0,0.004664,0.2641519999999997,-1.7005333333333335,0.12285714285714283,-0.01
91.5,0.02,-1.5,-0.026179938779914945,14.571428571428571,15,1340.0,1340.0,0.004632,0.2691359999999997,-1.7020000000000002,0.1285714285714286,0.02
91.53,0.11,-1.5300000000000011,-0.026703537555513263,14.571428571428571,15,1340.0,1340.0,0.00462,0.2741199999999997,-1.7040000000000002,0.12257142857142857,0.11
91.56,0.13,-1.5600000000000023,-0.02722713633111158,14.571428571428571,15,1340.0,1340.0,0.004664,0.2791039999999997,-1.7071999999999998,0.13257142857142856,0.13
91.53,0.29,-1.5300000000000011,-0.026703537555513263,14.571428571428571,15,1340.0,1340.0,0.004644,0.2840879999999997,-1.7110666666666674,0.1277142857142857,0.29
91.57,0.12,-1.5699999999999932,-0.027401669256310855,14.571428571428571,15,1340.0,1340.0,0.004668,0.28907199999999966,-1.7137333333333333,0.12885714285714284,0.12
91.57,0.16,-1.5699999999999932,-0.027401669256310855,14.571428571428571,15,1340.0,1340.0,0.004624,0.29405599999999965,-1.7167999999999999,0.13599999999999998,0.16
