error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignalPWM,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
93.02,0.11,-3.019999999999996,-0.052708943410228686,-18.21428571428571,-18,1250.0,1250.0,0.004588,0.004984,-1.8474315789473683,0.23067632850241532,0.11
92.5,0.31,-2.5,-0.04363323129985824,-18.21428571428571,-18,1250.0,1250.0,0.00458,0.009968,-1.8330361308677097,0.23021124286341663,0.31
92.34,0.17,-2.3400000000000034,-0.04084070449666737,-18.21428571428571,-18,1250.0,1250.0,0.0046,0.014952,-1.818640682788051,0.22974615722441796,0.17
92.2,0.31,-2.200000000000003,-0.0383972435438753,-18.21428571428571,-18,1250.0,1250.0,0.00458,0.019936,-1.8042452347083926,0.22928107158541927,0.31
92.05,0.33,-2.049999999999997,-0.03577924966588371,-18.21428571428571,-18,1250.0,1250.0,0.004584,0.024919999999999998,-1.789849786628734,0.2288159859464206,0.33
91.94,0.15,-1.9399999999999977,-0.033859387488689954,-18.21428571428571,-18,1250.0,1250.0,0.004568,0.029903999999999997,-1.7754543385490753,0.22835090030742192,0.15
91.82,0.31,-1.8199999999999932,-0.03176499238629668,-18.21428571428571,-18,1250.0,1250.0,0.004588,0.034887999999999995,-1.7610588904694167,0.22788581466842323,0.31
91.75,0.12,-1.75,-0.030543261909900768,-18.21428571428571,-18,1250.0,1250.0,0.004628,0.039872,-1.746663442389758,0.22742072902942456,0.12
91.71,0.17,-1.7099999999999937,-0.029845130209102927,-18.21428571428571,-18,1250.0,1250.0,0.004588,0.044856,-1.7322679943100996,0.22695564339042587,0.17
91.64,0.34,-1.6400000000000006,-0.028623399732707014,-18.21428571428571,-18,1250.0,1250.0,0.004592,0.04984,-1.717872546230441,0.2264905577514272,0.34
91.6,0.28,-1.5999999999999943,-0.027925268031909173,-18.21428571428571,-18,1250.0,1250.0,0.00458,0.054824000000000005,-1.7034770981507823,0.22602547211242852,0.28
91.56,0.13,-1.5600000000000023,-0.02722713633111158,-18.21428571428571,-18,1250.0,1250.0,0.004632,0.05980800000000001,-1.6890816500711237,0.22556038647342985,0.13
91.57,0.32,-1.5699999999999932,-0.027401669256310855,-18.21428571428571,-18,1250.0,1250.0,0.004572,0.064792,-1.6746862019914652,0.22509530083443116,0.32
91.55,0.26,-1.5499999999999972,-0.02705260340591206,-18.21428571428571,-18,1250.0,1250.0,0.004572,0.069776,-1.6602907539118066,0.22463021519543247,0.26
91.49,0.21,-1.4899999999999949,-0.026005405854715422,-18.21428571428571,-18,1250.0,1250.0,0.004592,0.07476000000000001,-1.645895305832148,0.2241651295564338,0.21
91.48,0.27,-1.480000000000004,-0.025830872929516146,-18.21428571428571,-18,1250.0,1250.0,0.004608,0.07974400000000001,-1.6314998577524893,0.22370004391743512,0.27
91.46,0.14,-1.4599999999999937,-0.025481807079117104,-18.21428571428571,-18,1250.0,1250.0,0.004592,0.08472800000000001,-1.6171044096728306,0.22323495827843645,0.14
91.42,0.21,-1.4200000000000017,-0.02478367537831951,-18.21428571428571,-18,1250.0,1250.0,0.004604,0.08971200000000001,-1.602708961593172,0.22276987263943776,0.21
91.42,0.28,-1.4200000000000017,-0.02478367537831951,-18.21428571428571,-18,1250.0,1250.0,0.004584,0.09469600000000002,-1.5883135135135136,0.22230478700043907,0.28
91.4,0.27,-1.4000000000000057,-0.024434609527920714,-18.21428571428571,-18,1250.0,1250.0,0.004596,0.09968000000000002,-1.573918065433855,0.2218397013614404,0.27
91.39,0.06,-1.3900000000000006,-0.02426007660272119,-18.21428571428571,-18,1250.0,1250.0,0.0046,0.10466400000000002,-1.5595226173541963,0.22137461572244171,0.06
91.37,0.18,-1.3700000000000045,-0.023911010752322395,-18.21428571428571,-18,1250.0,1250.0,0.004568,0.10964800000000002,-1.5451271692745376,0.22090953008344305,0.18
91.37,0.13,-1.3700000000000045,-0.023911010752322395,-18.21428571428571,-18,1250.0,1250.0,0.004592,0.11463200000000003,-1.5307317211948792,0.22044444444444453,0.13
91.37,0.26,-1.3700000000000045,-0.023911010752322395,-18.21428571428571,-18,1250.0,1250.0,0.004604,0.11961600000000003,-1.5163362731152206,0.22266666666666676,0.26
91.36,0.18,-1.3599999999999994,-0.023736477827122873,-18.21428571428571,-18,1250.0,1250.0,0.00462,0.12460000000000003,-1.501940825035562,0.21822222222222235,0.18
91.35,0.01,-1.3499999999999943,-0.02356194490192335,-18.21428571428571,-18,1250.0,1250.0,0.0046,0.12958400000000003,-1.4875453769559033,0.22155555555555564,0.01
