error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignal1300,pwm_values,time_steps,timestamps
49.96,44.52,40.04,0.6988298324985296,52.457142857142856,52,144.0,1444.0,0.005084,0.005084
49.94,46.58,40.06,0.6991788983489284,52.457142857142856,52,144.0,1444.0,0.005036,0.01012
49.82,47.81,40.18,0.7012732934513216,52.457142857142856,52,144.0,1444.0,0.00506,0.01518
49.73,48.54,40.27,0.7028440897781165,52.457142857142856,52,144.0,1444.0,0.005076,0.020256
49.68,48.97,40.32,0.7037167544041136,52.457142857142856,52,144.0,1444.0,0.005104,0.02536
49.64,49.23,40.36,0.7044148861049114,52.457142857142856,52,144.0,1444.0,0.005064,0.030424
49.63,49.38,40.37,0.7045894190301107,52.457142857142856,52,144.0,1444.0,0.005072,0.035496
49.58,49.46,40.42,0.7054620836561081,52.457142857142856,52,144.0,1444.0,0.005084,0.04058
49.53,49.48,40.47,0.7063347482821052,52.457142857142856,52,144.0,1444.0,0.005096,0.045675999999999994
49.52,49.5,40.48,0.7065092812073045,52.457142857142856,52,144.0,1444.0,0.00508,0.050755999999999996
49.48,49.49,40.52,0.7072074129081024,52.457142857142856,52,144.0,1444.0,0.005056,0.055811999999999994
49.47,49.48,40.53,0.7073819458333018,52.457142857142856,52,144.0,1444.0,0.005076,0.06088799999999999
49.46,49.48,40.54,0.7075564787585011,52.457142857142856,52,144.0,1444.0,0.005104,0.065992
49.45,49.47,40.55,0.7077310116837006,52.457142857142856,52,144.0,1444.0,0.005064,0.071056
49.42,49.45,40.58,0.7082546104592989,52.457142857142856,52,144.0,1444.0,0.005056,0.076112
49.43,49.44,40.57,0.7080800775340995,52.457142857142856,52,144.0,1444.0,0.005076,0.081188
49.41,49.43,40.59,0.7084291433844985,52.457142857142856,52,144.0,1444.0,0.005108,0.086296
49.42,49.43,40.58,0.7082546104592989,52.457142857142856,52,144.0,1444.0,0.005072,0.091368
49.4,49.42,40.6,0.7086036763096978,52.457142857142856,52,144.0,1444.0,0.00508,0.096448
49.4,49.41,40.6,0.7086036763096978,52.457142857142856,52,144.0,1444.0,0.005048,0.101496
49.39,49.4,40.61,0.7087782092348972,52.457142857142856,52,144.0,1444.0,0.005076,0.106572
49.38,49.39,40.62,0.7089527421600966,52.457142857142856,52,144.0,1444.0,0.00506,0.111632
