error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignal1300,pwm_values,time_steps,timestamps
49.95,44.46,40.05,0.6990043654237289,54.278571428571425,54,149.0,1449.0,0.005064,0.005064
49.85,46.51,40.15,0.7007496946757232,54.278571428571425,54,149.0,1449.0,0.00502,0.010084
49.76,47.74,40.24,0.7023204910025183,54.278571428571425,54,149.0,1449.0,0.005028,0.015112
49.73,48.5,40.27,0.7028440897781165,54.278571428571425,54,149.0,1449.0,0.005024,0.020136
49.72,48.96,40.28,0.7030186227033159,54.278571428571425,54,149.0,1449.0,0.00506,0.025196000000000003
49.7,49.24,40.3,0.7033676885537148,54.278571428571425,54,149.0,1449.0,0.005056,0.030252
49.69,49.41,40.31,0.7035422214789143,54.278571428571425,54,149.0,1449.0,0.005044,0.035296
49.67,49.51,40.33,0.703891287329313,54.278571428571425,54,149.0,1449.0,0.005064,0.04036
49.66,49.57,40.34,0.7040658202545126,54.278571428571425,54,149.0,1449.0,0.00506,0.04542
49.62,49.59,40.38,0.7047639519553103,54.278571428571425,54,149.0,1449.0,0.00504,0.050460000000000005
49.62,49.6,40.38,0.7047639519553103,54.278571428571425,54,149.0,1449.0,0.005036,0.055496000000000004
49.62,49.61,40.38,0.7047639519553103,54.278571428571425,54,149.0,1449.0,0.005064,0.06056
49.61,49.61,40.39,0.7049384848805097,54.278571428571425,54,149.0,1449.0,0.005084,0.06564400000000001
49.61,49.61,40.39,0.7049384848805097,54.278571428571425,54,149.0,1449.0,0.005056,0.07070000000000001
49.6,49.61,40.4,0.7051130178057091,54.278571428571425,54,149.0,1449.0,0.005068,0.07576800000000002
49.58,49.6,40.42,0.7054620836561081,54.278571428571425,54,149.0,1449.0,0.00506,0.08082800000000001
49.57,49.58,40.43,0.7056366165813074,54.278571428571425,54,149.0,1449.0,0.005092,0.08592000000000001
49.56,49.57,40.44,0.7058111495065068,54.64285714285714,55,150.0,1450.0,0.005068,0.09098800000000001
49.53,49.56,40.47,0.7063347482821052,54.64285714285714,55,150.0,1450.0,0.005044,0.096032
49.52,49.55,40.48,0.7065092812073045,54.64285714285714,55,150.0,1450.0,0.00508,0.10111200000000001
49.55,49.55,40.45,0.7059856824317063,54.64285714285714,55,150.0,1450.0,0.005096,0.10620800000000001
49.52,49.54,40.48,0.7065092812073045,54.64285714285714,55,150.0,1450.0,0.00508,0.11128800000000001
49.5,49.52,40.5,0.7068583470577035,54.64285714285714,55,150.0,1450.0,0.005076,0.11636400000000001
49.5,49.51,40.5,0.7068583470577035,54.64285714285714,55,150.0,1450.0,0.0051,0.12146400000000002
49.5,49.51,40.5,0.7068583470577035,54.64285714285714,55,150.0,1450.0,0.00504,0.126504
49.48,49.5,40.52,0.7072074129081024,54.64285714285714,55,150.0,1450.0,0.00504,0.131544
49.48,49.49,40.52,0.7072074129081024,54.64285714285714,55,150.0,1450.0,0.005048,0.136592
49.47,49.49,40.53,0.7073819458333018,54.64285714285714,55,150.0,1450.0,0.005068,0.14165999999999998
49.48,49.48,40.52,0.7072074129081024,54.64285714285714,55,150.0,1450.0,0.005088,0.146748
49.46,49.47,40.54,0.7075564787585011,54.64285714285714,55,150.0,1450.0,0.005064,0.151812
49.46,49.47,40.54,0.7075564787585011,54.64285714285714,55,150.0,1450.0,0.005076,0.156888
