error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignal1300,pwm_values,time_steps,timestamps
49.85,44.29,40.15,0.7007496946757232,58.285714285714285,58,160.0,1460.0,0.004624,0.004624
49.8,46.38,40.2,0.7016223593017206,58.285714285714285,58,160.0,1460.0,0.004636,0.009260000000000001
49.8,47.68,40.2,0.7016223593017206,58.285714285714285,58,160.0,1460.0,0.004624,0.013884
49.72,48.45,40.28,0.7030186227033159,58.285714285714285,58,160.0,1460.0,0.00464,0.018524
49.69,48.92,40.31,0.7035422214789143,58.285714285714285,58,160.0,1460.0,0.00462,0.023143999999999998
49.67,49.21,40.33,0.703891287329313,58.285714285714285,58,160.0,1460.0,0.00462,0.027763999999999997
49.67,49.38,40.33,0.703891287329313,58.285714285714285,58,160.0,1460.0,0.004652,0.032416
49.67,49.49,40.33,0.703891287329313,58.285714285714285,58,160.0,1460.0,0.004684,0.0371
49.63,49.54,40.37,0.7045894190301107,58.285714285714285,58,160.0,1460.0,0.004668,0.041768
49.62,49.57,40.38,0.7047639519553103,58.285714285714285,58,160.0,1460.0,0.00466,0.046428
49.6,49.58,40.4,0.7051130178057091,58.285714285714285,58,160.0,1460.0,0.004644,0.051072
49.59,49.59,40.41,0.7052875507309085,58.285714285714285,58,160.0,1460.0,0.004632,0.055704
49.58,49.58,40.42,0.7054620836561081,58.285714285714285,58,160.0,1460.0,0.004668,0.060371999999999995
49.57,49.58,40.43,0.7056366165813074,58.285714285714285,58,160.0,1460.0,0.00466,0.06503199999999999
49.55,49.56,40.45,0.7059856824317063,58.285714285714285,58,160.0,1460.0,0.004656,0.069688
49.53,49.55,40.47,0.7063347482821052,58.285714285714285,58,160.0,1460.0,0.004668,0.074356
49.51,49.53,40.49,0.706683814132504,58.285714285714285,58,160.0,1460.0,0.004668,0.07902400000000001
49.5,49.52,40.5,0.7068583470577035,58.285714285714285,58,160.0,1460.0,0.004648,0.08367200000000001
49.5,49.51,40.5,0.7068583470577035,58.285714285714285,58,160.0,1460.0,0.004652,0.08832400000000001
49.47,49.5,40.53,0.7073819458333018,58.285714285714285,58,160.0,1460.0,0.00466,0.09298400000000001
49.47,49.49,40.53,0.7073819458333018,58.285714285714285,58,160.0,1460.0,0.004684,0.097668
49.46,49.48,40.54,0.7075564787585011,58.285714285714285,58,160.0,1460.0,0.004656,0.102324
49.44,49.46,40.56,0.7079055446089001,58.285714285714285,58,160.0,1460.0,0.00466,0.106984
49.45,49.46,40.55,0.7077310116837006,58.285714285714285,58,160.0,1460.0,0.004624,0.111608
49.47,49.46,40.53,0.7073819458333018,58.285714285714285,58,160.0,1460.0,0.004668,0.116276
49.47,49.46,40.53,0.7073819458333018,58.285714285714285,58,160.0,1460.0,0.004652,0.12092800000000001
49.46,49.46,40.54,0.7075564787585011,58.285714285714285,58,160.0,1460.0,0.004648,0.12557600000000002
49.44,49.45,40.56,0.7079055446089001,58.285714285714285,58,160.0,1460.0,0.004644,0.13022000000000003
49.43,49.45,40.57,0.7080800775340995,58.285714285714285,58,160.0,1460.0,0.004664,0.13488400000000003
49.43,49.44,40.57,0.7080800775340995,58.285714285714285,58,160.0,1460.0,0.00466,0.13954400000000003
49.42,49.43,40.58,0.7082546104592989,58.285714285714285,58,160.0,1460.0,0.004644,0.14418800000000004
49.41,49.42,40.59,0.7084291433844985,58.285714285714285,58,160.0,1460.0,0.004644,0.14883200000000005
49.39,49.41,40.61,0.7087782092348972,58.285714285714285,58,160.0,1460.0,0.00466,0.15349200000000005
49.39,49.4,40.61,0.7087782092348972,58.285714285714285,58,160.0,1460.0,0.004684,0.15817600000000004
49.37,49.39,40.63,0.7091272750852962,58.285714285714285,58,160.0,1460.0,0.004656,0.16283200000000003
49.37,49.38,40.63,0.7091272750852962,58.285714285714285,58,160.0,1460.0,0.004656,0.16748800000000003
49.36,49.37,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004652,0.17214000000000002
49.35,49.36,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004672,0.17681200000000002
49.35,49.36,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004664,0.18147600000000003
49.35,49.36,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.00466,0.18613600000000002
49.35,49.35,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004652,0.190788
49.35,49.35,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004668,0.19545600000000002
49.36,49.35,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004656,0.200112
49.34,49.35,40.66,0.7096508738608943,58.285714285714285,58,160.0,1460.0,0.004668,0.20478000000000002
49.33,49.34,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004664,0.20944400000000002
49.33,49.34,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004656,0.2141
49.33,49.33,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004664,0.21876400000000001
49.32,49.33,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.00466,0.223424
49.33,49.33,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004708,0.228132
49.36,49.34,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004724,0.232856
49.36,49.35,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004712,0.237568
49.35,49.35,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004672,0.24224
49.33,49.34,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.0047,0.24694000000000002
49.32,49.33,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004696,0.251636
49.32,49.33,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004712,0.256348
49.32,49.33,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004704,0.261052
49.32,49.32,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004708,0.26576
49.28,49.31,40.72,0.710698071412091,58.285714285714285,58,160.0,1460.0,0.004712,0.270472
49.33,49.31,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.00472,0.275192
49.36,49.33,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004692,0.27988399999999997
49.41,49.36,40.59,0.7084291433844985,58.285714285714285,58,160.0,1460.0,0.004696,0.28457999999999994
49.43,49.39,40.57,0.7080800775340995,58.285714285714285,58,160.0,1460.0,0.004696,0.2892759999999999
49.43,49.4,40.57,0.7080800775340995,58.285714285714285,58,160.0,1460.0,0.004736,0.29401199999999994
49.42,49.41,40.58,0.7082546104592989,58.285714285714285,58,160.0,1460.0,0.004676,0.29868799999999995
49.29,49.36,40.71,0.7105235384868915,58.285714285714285,58,160.0,1460.0,0.004688,0.303376
49.36,49.36,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004704,0.30807999999999996
49.31,49.34,40.69,0.7101744726364927,58.285714285714285,58,160.0,1460.0,0.0047,0.31277999999999995
49.37,49.35,40.63,0.7091272750852962,58.285714285714285,58,160.0,1460.0,0.004704,0.31748399999999993
49.35,49.35,40.65,0.7094763409356949,58.285714285714285,58,160.0,1460.0,0.004688,0.32217199999999996
49.33,49.34,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004708,0.32687999999999995
49.32,49.34,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004704,0.33158399999999993
49.33,49.33,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004716,0.33629999999999993
49.28,49.31,40.72,0.710698071412091,58.285714285714285,58,160.0,1460.0,0.004704,0.3410039999999999
49.31,49.31,40.69,0.7101744726364927,58.285714285714285,58,160.0,1460.0,0.004704,0.3457079999999999
49.32,49.31,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004708,0.3504159999999999
49.33,49.32,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.0047,0.3551159999999999
49.32,49.32,40.68,0.7099999397112933,58.285714285714285,58,160.0,1460.0,0.004712,0.35982799999999987
49.3,49.31,40.7,0.7103490055616922,58.285714285714285,58,160.0,1460.0,0.00468,0.3645079999999999
49.33,49.32,40.67,0.7098254067860938,58.285714285714285,58,160.0,1460.0,0.004672,0.3691799999999999
49.36,49.34,40.64,0.7093018080104956,58.285714285714285,58,160.0,1460.0,0.004692,0.37387199999999987
49.4,49.36,40.6,0.7086036763096978,58.285714285714285,58,160.0,1460.0,0.004692,0.37856399999999985
49.49,49.41,40.51,0.7070328799829029,58.285714285714285,58,160.0,1460.0,0.004696,0.3832599999999998
49.44,49.42,40.56,0.7079055446089001,58.285714285714285,58,160.0,1460.0,0.00468,0.38793999999999984
49.44,49.43,40.56,0.7079055446089001,58.285714285714285,58,160.0,1460.0,0.00472,0.39265999999999984
49.5,49.46,40.5,0.7068583470577035,58.285714285714285,58,160.0,1460.0,0.004676,0.39733599999999986
49.45,49.45,40.55,0.7077310116837006,58.285714285714285,58,160.0,1460.0,0.004692,0.40202799999999983
49.49,49.47,40.51,0.7070328799829029,58.285714285714285,58,160.0,1460.0,0.004692,0.4067199999999998
49.52,49.49,40.48,0.7065092812073045,58.285714285714285,58,160.0,1460.0,0.004696,0.4114159999999998
49.62,49.54,40.38,0.7047639519553103,58.285714285714285,58,160.0,1460.0,0.004684,0.4160999999999998
49.8,49.64,40.2,0.7016223593017206,58.285714285714285,58,160.0,1460.0,0.004692,0.4207919999999998
49.74,49.68,40.26,0.702669556852917,58.285714285714285,58,160.0,1460.0,0.00466,0.4254519999999998
49.64,49.66,40.36,0.7044148861049114,58.285714285714285,58,160.0,1460.0,0.004676,0.4301279999999998
49.7,49.68,40.3,0.7033676885537148,58.285714285714285,58,160.0,1460.0,0.004712,0.4348399999999998
49.57,49.64,40.43,0.7056366165813074,58.285714285714285,58,160.0,1460.0,0.004668,0.4395079999999998
49.55,49.6,40.45,0.7059856824317063,58.285714285714285,58,160.0,1460.0,0.004684,0.4441919999999998
49.61,49.61,40.39,0.7049384848805097,58.285714285714285,58,160.0,1460.0,0.004656,0.4488479999999998
49.57,49.59,40.43,0.7056366165813074,58.285714285714285,58,160.0,1460.0,0.004704,0.4535519999999998
49.67,49.62,40.33,0.703891287329313,58.285714285714285,58,160.0,1460.0,0.004688,0.4582399999999998
49.76,49.68,40.24,0.7023204910025183,58.285714285714285,58,160.0,1460.0,0.004684,0.46292399999999984
49.77,49.71,40.23,0.7021459580773187,58.285714285714285,58,160.0,1460.0,0.0047,0.4676239999999998
49.76,49.73,40.24,0.7023204910025183,58.285714285714285,58,160.0,1460.0,0.00474,0.47236399999999984
49.58,49.67,40.42,0.7054620836561081,58.285714285714285,58,160.0,1460.0,0.004688,0.47705199999999987
49.48,49.6,40.52,0.7072074129081024,58.285714285714285,58,160.0,1460.0,0.004676,0.4817279999999999
