error,errorFilt,angle,angleRad,uSignal255,uSignal255Int,uSignal1300,pwm_values,time_steps,timestamps,angleFilt,filtVelocity,velocity
50.19,48.14,39.81,0.6948155752189427,49.542857142857144,50,136.0,1436.0,0.004852,0.004852,40.06698278145696,0.15289610389610378,0.11
50.19,48.92,39.81,0.6948155752189427,49.542857142857144,50,136.0,1436.0,0.004868,0.00972,40.07133469043069,0.1519336219336218,0.14
50.13,49.38,39.87,0.6958627727701392,49.542857142857144,50,136.0,1436.0,0.004852,0.014572,40.07568659940442,0.15097113997113987,0.15
50.06,49.64,39.94,0.6970845032465351,49.542857142857144,50,136.0,1436.0,0.00486,0.019431999999999998,40.08003850837815,0.1500086580086579,0.06
50.05,49.79,39.95,0.6972590361717347,49.542857142857144,50,136.0,1436.0,0.00482,0.024251999999999996,40.084390417351884,0.14904617604617595,0.07
49.98,49.87,40.02,0.6984807666481307,49.542857142857144,50,136.0,1436.0,0.004864,0.029115999999999996,40.088742326325615,0.14808369408369398,0.05
49.96,49.9,40.04,0.6988298324985296,49.542857142857144,50,136.0,1436.0,0.004868,0.03398399999999999,40.09309423529935,0.147121212121212,0.19
49.94,49.92,40.06,0.6991788983489284,49.542857142857144,50,136.0,1436.0,0.004812,0.038796,40.09744614427308,0.14615873015873007,0.11
49.92,49.92,40.08,0.6995279641993273,49.542857142857144,50,136.0,1436.0,0.004868,0.043663999999999994,40.10179805324681,0.1451962481962481,0.18
49.93,49.92,40.07,0.6993534312741279,49.542857142857144,50,136.0,1436.0,0.004864,0.048527999999999995,40.10614996222055,0.14423376623376616,0.16
49.9,49.92,40.1,0.6998770300497261,49.542857142857144,50,136.0,1436.0,0.004872,0.053399999999999996,40.11050187119428,0.1432712842712842,0.05
49.9,49.91,40.1,0.6998770300497261,49.542857142857144,50,136.0,1436.0,0.004828,0.058227999999999995,40.11485378016801,0.14230880230880222,0.19
49.88,49.9,40.12,0.700226095900125,49.542857142857144,50,136.0,1436.0,0.004872,0.06309999999999999,40.119205689141744,0.14134632034632028,0.18
49.88,49.89,40.12,0.700226095900125,49.542857142857144,50,136.0,1436.0,0.004888,0.06798799999999999,40.123557598115475,0.1403838383838383,0.17
49.87,49.88,40.13,0.7004006288253245,49.542857142857144,50,136.0,1436.0,0.004872,0.07286,40.12790950708921,0.13942135642135633,0.34
49.85,49.87,40.15,0.7007496946757232,49.542857142857144,50,136.0,1436.0,0.004852,0.07771199999999999,40.13226141606294,0.1384588744588744,0.12
49.85,49.86,40.15,0.7007496946757232,49.542857142857144,50,136.0,1436.0,0.004844,0.08255599999999999,40.13661332503667,0.13749639249639242,0.1
49.82,49.85,40.18,0.7012732934513216,49.542857142857144,50,136.0,1436.0,0.004868,0.08742399999999999,40.1409652340104,0.13653391053391048,0.11
49.83,49.84,40.17,0.7010987605261222,49.542857142857144,50,136.0,1436.0,0.004852,0.09227599999999998,40.14531714298413,0.1355714285714285,0.16
49.83,49.84,40.17,0.7010987605261222,49.542857142857144,50,136.0,1436.0,0.00484,0.09711599999999998,40.149669051957865,0.13460894660894657,0.02
49.8,49.82,40.2,0.7016223593017206,49.542857142857144,50,136.0,1436.0,0.004836,0.10195199999999999,40.1540209609316,0.1336464646464646,0.05
49.78,49.81,40.22,0.7019714251521193,49.542857142857144,50,136.0,1436.0,0.004872,0.10682399999999999,40.15837286990533,0.13268398268398263,0.21
49.77,49.8,40.23,0.7021459580773187,49.542857142857144,50,136.0,1436.0,0.004856,0.11167999999999999,40.16272477887906,0.13172150072150068,0.11
49.77,49.79,40.23,0.7021459580773187,49.542857142857144,50,136.0,1436.0,0.004844,0.11652399999999999,40.16707668785279,0.1307590187590187,0.21
49.77,49.78,40.23,0.7021459580773187,49.542857142857144,50,136.0,1436.0,0.004852,0.12137599999999998,40.17142859682652,0.12979653679653674,0.25
49.77,49.77,40.23,0.7021459580773187,49.542857142857144,50,136.0,1436.0,0.004868,0.126244,40.175780505800255,0.1288340548340548,0.18
49.78,49.77,40.22,0.7019714251521193,49.542857142857144,50,136.0,1436.0,0.004868,0.131112,40.180132414773986,0.12787157287157283,0.02
49.76,49.77,40.24,0.7023204910025183,49.542857142857144,50,136.0,1436.0,0.004852,0.135964,40.184484323747725,0.12690909090909086,0.24
49.75,49.76,40.25,0.7024950239277177,49.542857142857144,50,136.0,1436.0,0.004864,0.140828,40.18883623272146,0.13254545454545458,0.19
49.74,49.75,40.26,0.702669556852917,49.542857142857144,50,136.0,1436.0,0.0049,0.145728,40.19318814169519,0.13036363636363635,0.14
49.72,49.74,40.28,0.7030186227033159,49.542857142857144,50,136.0,1436.0,0.004844,0.15057199999999998,40.19754005066892,0.12618181818181815,0.18
49.71,49.73,40.29,0.7031931556285154,49.542857142857144,50,136.0,1436.0,0.004848,0.15541999999999997,40.20189195964265,0.13418181818181812,0.08
49.73,49.73,40.27,0.7028440897781165,49.542857142857144,50,136.0,1436.0,0.00484,0.16025999999999999,40.20624386861638,0.1327272727272727,0.25
49.71,49.72,40.29,0.7031931556285154,49.542857142857144,50,136.0,1436.0,0.004884,0.16514399999999999,40.210595777590115,0.12872727272727272,0.21
49.71,49.72,40.29,0.7031931556285154,49.542857142857144,50,136.0,1436.0,0.00486,0.170004,40.214947686563846,0.1314545454545454,0.11
49.69,49.71,40.31,0.7035422214789143,49.542857142857144,50,136.0,1436.0,0.004856,0.17486,40.21929959553758,0.1307272727272727,0.0
49.69,49.7,40.31,0.7035422214789143,49.542857142857144,50,136.0,1436.0,0.004732,0.17959199999999997,40.22365150451131,0.13472727272727272,-0.02
49.68,49.69,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.00484,0.18443199999999998,40.22800341348504,0.1347272727272727,0.19
49.67,49.69,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004848,0.18927999999999998,40.23235532245877,0.13381818181818175,0.27
49.68,49.68,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.00484,0.19412,40.236707231432504,0.12890909090909086,0.04
49.67,49.68,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004824,0.19894399999999998,40.241059140406236,0.12854545454545452,0.03
49.67,49.68,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.00488,0.20382399999999998,40.24541104937997,0.12181818181818178,0.02
49.66,49.67,40.34,0.7040658202545126,49.542857142857144,50,136.0,1436.0,0.004856,0.20867999999999998,40.2497629583537,0.12181818181818177,0.19
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004856,0.21353599999999998,40.25411486732743,0.11690909090909085,0.24
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.00484,0.218376,40.25846677630117,0.12018181818181815,0.11
49.66,49.67,40.34,0.7040658202545126,49.542857142857144,50,136.0,1436.0,0.004864,0.22324,40.2628186852749,0.11963636363636358,0.09
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004864,0.228104,40.26717059424863,0.1187272727272727,0.13
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.00486,0.232964,40.271522503222364,0.12454545454545454,0.09
49.68,49.67,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.004836,0.2378,40.275874412196096,0.12345454545454546,0.04
49.69,49.68,40.31,0.7035422214789143,49.542857142857144,50,136.0,1436.0,0.00486,0.24266000000000001,40.28022632116983,0.12490909090909091,0.13
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004868,0.24752800000000003,40.28457823014356,0.11418181818181815,0.18
49.67,49.67,40.33,0.703891287329313,49.542857142857144,50,136.0,1436.0,0.004856,0.25238400000000005,40.28893013911729,0.11854545454545451,0.09
49.68,49.68,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.004836,0.25722000000000006,40.29328204809102,0.1249090909090909,0.21
49.68,49.68,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.004848,0.2620680000000001,40.297633957064754,0.11999999999999998,-0.05
49.68,49.68,40.32,0.7037167544041136,49.542857142857144,50,136.0,1436.0,0.004856,0.2669240000000001,40.301985866038486,0.10836363636363636,-0.09
49.63,49.66,40.37,0.7045894190301107,49.542857142857144,50,136.0,1436.0,0.004872,0.2717960000000001,40.30633777501222,0.12399999999999999,0.42
49.63,49.65,40.37,0.7045894190301107,49.542857142857144,50,136.0,1436.0,0.004868,0.2766640000000001,40.31068968398595,0.12,0.02
49.63,49.64,40.37,0.7045894190301107,49.542857142857144,50,136.0,1436.0,0.004844,0.2815080000000001,40.31504159295968,0.10145454545454544,-0.08
49.67,49.65,40.33,0.703891287329313,49.90714285714285,50,137.0,1437.0,0.004888,0.2863960000000001,40.31939350193341,0.11327272727272725,0.5
49.6,49.63,40.4,0.7051130178057091,49.90714285714285,50,137.0,1437.0,0.004872,0.2912680000000001,40.323745410907144,0.1198181818181818,-0.01
49.73,49.67,40.27,0.7028440897781165,49.90714285714285,50,137.0,1437.0,0.004828,0.2960960000000001,40.328097319880875,0.11127272727272729,-0.17
49.72,49.69,40.28,0.7030186227033159,49.90714285714285,50,137.0,1437.0,0.004876,0.3009720000000001,40.332449228854614,0.11309090909090908,0.34
49.74,49.71,40.26,0.702669556852917,49.90714285714285,50,137.0,1437.0,0.004888,0.3058600000000001,40.336801137828346,0.13490909090909087,0.07
49.79,49.74,40.21,0.7017968922269199,49.90714285714285,50,137.0,1437.0,0.004832,0.3106920000000001,40.34115304680208,0.1409090909090909,0.4
49.79,49.76,40.21,0.7017968922269199,49.90714285714285,50,137.0,1437.0,0.004836,0.3155280000000001,40.34550495577581,0.16509090909090907,0.16
49.78,49.77,40.22,0.7019714251521193,49.90714285714285,50,137.0,1437.0,0.004864,0.32039200000000007,40.34985686474954,0.17563636363636365,0.0
49.76,49.77,40.24,0.7023204910025183,49.90714285714285,50,137.0,1437.0,0.004776,0.32516800000000007,40.35420877372327,0.16709090909090912,-0.08
49.75,49.76,40.25,0.7024950239277177,49.90714285714285,50,137.0,1437.0,0.00484,0.3300080000000001,40.358560682697004,0.17490909090909085,0.16
49.72,49.75,40.28,0.7030186227033159,49.90714285714285,50,137.0,1437.0,0.00484,0.3348480000000001,40.362912591670735,0.1834545454545455,-0.2
49.73,49.74,40.27,0.7028440897781165,49.90714285714285,50,137.0,1437.0,0.004848,0.3396960000000001,40.36726450064447,0.1810909090909091,0.34
49.74,49.74,40.26,0.702669556852917,49.90714285714285,50,137.0,1437.0,0.004888,0.3445840000000001,40.3716164096182,0.1878181818181818,-0.15
49.68,49.72,40.32,0.7037167544041136,49.90714285714285,50,137.0,1437.0,0.004868,0.3494520000000001,40.37596831859193,0.18781818181818177,0.28
49.64,49.69,40.36,0.7044148861049114,49.90714285714285,50,137.0,1437.0,0.004844,0.3542960000000001,40.38032022756566,0.19254545454545455,0.08
49.67,49.68,40.33,0.703891287329313,49.90714285714285,50,137.0,1437.0,0.00482,0.3591160000000001,40.38467213653939,0.18763636363636363,0.11
49.7,49.69,40.3,0.7033676885537148,49.90714285714285,50,137.0,1437.0,0.0049,0.3640160000000001,40.389024045513125,0.17454545454545453,0.34
49.7,49.69,40.3,0.7033676885537148,49.90714285714285,50,137.0,1437.0,0.00484,0.36885600000000013,40.39966666666667,0.1667272727272727,-0.01
49.74,49.71,40.26,0.702669556852917,49.90714285714285,50,137.0,1437.0,0.004844,0.37370000000000014,40.40753333333333,0.1747272727272727,0.29
49.77,49.73,40.23,0.7021459580773187,49.90714285714285,50,137.0,1437.0,0.004852,0.37855200000000017,40.41433333333333,0.1767272727272727,-0.48
49.8,49.76,40.2,0.7016223593017206,49.90714285714285,50,137.0,1437.0,0.004888,0.38344000000000017,40.418933333333335,0.17727272727272722,0.45
49.72,49.74,40.28,0.7030186227033159,49.90714285714285,50,137.0,1437.0,0.004836,0.3882760000000002,40.423,0.17109090909090913,0.6
49.67,49.72,40.33,0.703891287329313,49.90714285714285,50,137.0,1437.0,0.00484,0.3931160000000002,40.42633333333334,0.16345454545454544,-0.09
49.82,49.75,40.18,0.7012732934513216,49.90714285714285,50,137.0,1437.0,0.004832,0.3979480000000002,40.431200000000004,0.15563636363636357,-0.62
49.81,49.77,40.19,0.701447826376521,49.90714285714285,50,137.0,1437.0,0.004888,0.4028360000000002,40.436866666666674,0.1616363636363636,1.1
49.58,49.7,40.42,0.7054620836561081,49.90714285714285,50,137.0,1437.0,0.004836,0.4076720000000002,40.442266666666676,0.1567272727272727,-0.03
49.61,49.67,40.39,0.7049384848805097,49.90714285714285,50,137.0,1437.0,0.0048,0.4124720000000002,40.446333333333335,0.17563636363636362,-0.88
49.5,49.61,40.5,0.7068583470577035,50.27142857142857,50,138.0,1438.0,0.004856,0.41732800000000025,40.45093333333334,0.19090909090909086,0.83
49.38,49.52,40.62,0.7089527421600966,50.27142857142857,50,138.0,1438.0,0.004868,0.42219600000000024,40.454400000000014,0.1674545454545454,0.44
49.53,49.52,40.47,0.7063347482821052,50.27142857142857,50,138.0,1438.0,0.004856,0.42705200000000026,40.456533333333354,0.15599999999999997,-0.22
49.6,49.55,40.4,0.7051130178057091,50.27142857142857,50,138.0,1438.0,0.004836,0.43188800000000027,40.45806666666668,0.15999999999999998,0.31
49.56,49.55,40.44,0.7058111495065068,50.27142857142857,50,138.0,1438.0,0.004844,0.4367320000000003,40.46026666666668,0.1610909090909091,1.31
49.48,49.52,40.52,0.7072074129081024,50.27142857142857,50,138.0,1438.0,0.004888,0.4416200000000003,40.46446666666668,0.1678181818181818,0.33
49.57,49.54,40.43,0.7056366165813074,50.27142857142857,50,138.0,1438.0,0.00486,0.44648000000000027,40.47073333333335,0.1578181818181818,1.31
49.59,49.56,40.41,0.7052875507309085,50.27142857142857,50,138.0,1438.0,0.00484,0.4513200000000003,40.47973333333335,0.16763636363636358,0.77
49.52,49.54,40.48,0.7065092812073045,50.27142857142857,50,138.0,1438.0,0.004828,0.4561480000000003,40.488200000000006,0.17236363636363633,-0.2
49.51,49.53,40.49,0.706683814132504,50.27142857142857,50,138.0,1438.0,0.004844,0.4609920000000003,40.49573333333334,0.17945454545454545,0.47
49.33,49.45,40.67,0.7098254067860938,50.27142857142857,50,138.0,1438.0,0.004876,0.4658680000000003,40.502266666666685,0.18636363636363634,0.5
49.32,49.4,40.68,0.7099999397112933,50.27142857142857,50,138.0,1438.0,0.004832,0.4707000000000003,40.50780000000001,0.20999999999999996,-0.11
49.39,49.4,40.61,0.7087782092348972,50.27142857142857,50,138.0,1438.0,0.00482,0.4755200000000003,40.512400000000014,0.20636363636363633,0.56
49.4,49.4,40.6,0.7086036763096978,50.27142857142857,50,138.0,1438.0,0.004832,0.4803520000000003,40.51666666666667,0.20454545454545453,0.24
49.41,49.4,40.59,0.7084291433844985,50.27142857142857,50,138.0,1438.0,0.004852,0.4852040000000003,40.52080000000001,0.2101818181818181,0.37
49.35,49.38,40.65,0.7094763409356949,50.27142857142857,50,138.0,1438.0,0.00486,0.4900640000000003,40.524666666666675,0.20490909090909085,-0.18
49.26,49.34,40.74,0.7110471372624899,50.27142857142857,50,138.0,1438.0,0.004868,0.49493200000000026,40.53060000000001,0.20781818181818174,-0.59
49.34,49.34,40.66,0.7096508738608943,50.27142857142857,50,138.0,1438.0,0.004836,0.49976800000000027,40.53826666666667,0.21200000000000002,-0.34
49.37,49.35,40.63,0.7091272750852962,50.27142857142857,50,138.0,1438.0,0.004868,0.5046360000000003,40.54800000000001,0.20454545454545453,0.48
49.36,49.35,40.64,0.7093018080104956,50.27142857142857,50,138.0,1438.0,0.004856,0.5094920000000003,40.55940000000001,0.1974545454545455,0.24
49.38,49.36,40.62,0.7089527421600966,50.27142857142857,50,138.0,1438.0,0.004828,0.5143200000000003,40.573733333333344,0.2316363636363637,0.21
49.43,49.39,40.57,0.7080800775340995,50.27142857142857,50,138.0,1438.0,0.004848,0.5191680000000003,40.59020000000001,0.2378181818181818,-0.25
49.41,49.4,40.59,0.7084291433844985,50.635714285714286,51,139.0,1439.0,0.004864,0.5240320000000003,40.60886666666667,0.22381818181818183,-0.21
49.48,49.43,40.52,0.7072074129081024,50.635714285714286,51,139.0,1439.0,0.004852,0.5288840000000002,40.62646666666667,0.24309090909090908,-0.48
49.42,49.43,40.58,0.7082546104592989,50.635714285714286,51,139.0,1439.0,0.004824,0.5337080000000003,40.643266666666676,0.28254545454545443,0.24
49.35,49.39,40.65,0.7094763409356949,50.635714285714286,51,139.0,1439.0,0.004852,0.5385600000000003,40.65966666666668,0.24981818181818177,0.15
49.37,49.38,40.63,0.7091272750852962,50.635714285714286,51,139.0,1439.0,0.004852,0.5434120000000002,40.67460000000001,0.25836363636363635,1.06
49.28,49.34,40.72,0.710698071412091,50.635714285714286,51,139.0,1439.0,0.004844,0.5482560000000002,40.68806666666667,0.3161818181818182,0.76
49.31,49.33,40.69,0.7101744726364927,50.635714285714286,51,139.0,1439.0,0.004856,0.5531120000000002,40.69966666666668,0.3121818181818181,-0.79
49.28,49.31,40.72,0.710698071412091,50.635714285714286,51,139.0,1439.0,0.004828,0.5579400000000002,40.70980000000001,0.3270909090909091,-0.64
49.41,49.35,40.59,0.7084291433844985,50.635714285714286,51,139.0,1439.0,0.00488,0.5628200000000002,40.71953333333335,0.31436363636363635,0.05
49.34,49.34,40.66,0.7096508738608943,50.635714285714286,51,139.0,1439.0,0.004828,0.5676480000000003,40.72766666666668,0.30490909090909074,0.4
49.37,49.35,40.63,0.7091272750852962,50.635714285714286,51,139.0,1439.0,0.004856,0.5725040000000002,40.73466666666668,0.28672727272727266,0.44
49.37,49.36,40.63,0.7091272750852962,50.635714285714286,51,139.0,1439.0,0.004864,0.5773680000000002,40.74006666666668,0.31090909090909086,-0.15
49.37,49.36,40.63,0.7091272750852962,50.635714285714286,51,139.0,1439.0,0.004888,0.5822560000000002,40.74500000000002,0.28981818181818175,0.7
49.34,49.35,40.66,0.7096508738608943,50.635714285714286,51,139.0,1439.0,0.004868,0.5871240000000002,40.749333333333354,0.23799999999999993,0.26
49.39,49.37,40.61,0.7087782092348972,50.635714285714286,51,139.0,1439.0,0.004872,0.5919960000000002,40.75340000000002,0.2416363636363636,0.31
49.55,49.44,40.45,0.7059856824317063,50.635714285714286,51,139.0,1439.0,0.004856,0.5968520000000002,40.75680000000002,0.21690909090909083,0.54
49.42,49.43,40.58,0.7082546104592989,50.635714285714286,51,139.0,1439.0,0.004872,0.6017240000000001,40.76040000000002,0.23218181818181804,1.1
49.49,49.45,40.51,0.7070328799829029,50.635714285714286,51,139.0,1439.0,0.00486,0.6065840000000001,40.764600000000016,0.28836363636363627,0.14
49.37,49.42,40.63,0.7091272750852962,50.635714285714286,51,139.0,1439.0,0.004844,0.6114280000000001,40.77040000000002,0.3481818181818181,-0.25
49.49,49.45,40.51,0.7070328799829029,51.0,51,140.0,1440.0,0.004844,0.616272,40.77806666666669,0.38036363636363635,0.59
49.57,49.5,40.43,0.7056366165813074,51.0,51,140.0,1440.0,0.004868,0.62114,40.78826666666669,0.35218181818181815,-0.21
49.43,49.47,40.57,0.7080800775340995,51.0,51,140.0,1440.0,0.004824,0.6259640000000001,40.80046666666669,0.3399999999999999,0.27
49.56,49.5,40.44,0.7058111495065068,51.0,51,140.0,1440.0,0.004812,0.6307760000000001,40.8144666666667,0.3479999999999998,0.57
49.61,49.55,40.39,0.7049384848805097,51.0,51,140.0,1440.0,0.004812,0.6355880000000002,40.82940000000004,0.3339999999999999,-0.42
49.48,49.52,40.52,0.7072074129081024,51.0,51,140.0,1440.0,0.004864,0.6404520000000001,40.84493333333337,0.33090909090909076,-0.1
49.56,49.54,40.44,0.7058111495065068,51.0,51,140.0,1440.0,0.004828,0.6452800000000002,40.86213333333337,0.3838181818181816,1.4
49.6,49.56,40.4,0.7051130178057091,51.0,51,140.0,1440.0,0.004852,0.6501320000000002,40.8798666666667,0.42727272727272725,0.79
